field_id,year,crop_id,standard_name,target_yield_t_ha,oof_pred_t_ha
219,2022,43.0,wheat_spring,2.827547619047619,2.876152642912358
219,2024,43.0,wheat_spring,3.6718380952380953,2.617658659269333
220,2020,43.0,wheat_spring,5.13,
220,2022,43.0,wheat_spring,3.4832,2.8770165689090414
220,2024,43.0,wheat_spring,3.12756,3.4896685862814785
220,2025,43.0,wheat_spring,3.3072000000000004,2.9383341320957914
221,2020,43.0,wheat_spring,3.8,
221,2022,43.0,wheat_spring,4.1328000000000005,2.8955076509271604
222,2020,43.0,wheat_spring,2.1,
222,2022,43.0,wheat_spring,3.2700483870967743,2.7919390677760014
222,2024,43.0,wheat_spring,3.6562580645161287,3.312902864327736
223,2020,43.0,wheat_spring,2.1,
223,2022,43.0,wheat_spring,3.2311428571428573,2.793465528974863
223,2024,43.0,wheat_spring,3.350857142857143,3.219593224722565
224,2020,43.0,wheat_spring,0.857,
224,2022,43.0,wheat_spring,3.079423076923077,2.8224923845973025
224,2024,44.0,wheat_winter,5.0582692307692305,3.834689318779154
225,2020,43.0,wheat_spring,2.335,
225,2022,43.0,wheat_spring,4.58,2.988631377798691
226,2020,43.0,wheat_spring,5.02,
226,2022,43.0,wheat_spring,1.6934999999999998,2.9028283997049313
226,2024,44.0,wheat_winter,4.9315,3.6284846913943003
227,2020,44.0,wheat_winter,5.65,
227,2021,44.0,wheat_winter,2.8346242774566472,
227,2022,44.0,wheat_winter,2.217514450867052,3.067237510301003
228,2020,44.0,wheat_winter,1.3,
228,2021,44.0,wheat_winter,2.4169491525423727,
228,2022,43.0,wheat_spring,4.564745762711865,2.8502381614442296
228,2023,44.0,wheat_winter,1.5016949152542372,3.233168373778383
228,2025,43.0,wheat_spring,3.004576271186441,3.09490413397353
229,2020,44.0,wheat_winter,3.285,
229,2021,44.0,wheat_winter,2.9450000000000003,
229,2022,43.0,wheat_spring,2.841666666666667,2.9063073173107585
229,2023,44.0,wheat_winter,3.443333333333334,3.210712656634413
229,2025,43.0,wheat_spring,3.5050000000000003,2.931910090078259
230,2019,44.0,wheat_winter,4.503,
230,2021,44.0,wheat_winter,2.123766816143498,
