field_id,year,field_tillable_area,field_calculated_area,field_lat,field_long,ops_count_total,ops_count_soil,ops_count_application,ops_count_harvesting,ops_count_seeding,ops_count_tillage,ops_count_spraying,ops_npk_n_total,ops_npk_p_total,ops_npk_k_total,ops_npk_total,ops_season_start,ops_season_end,ops_season_duration_days,ops_days_seeding_to_harvest,ops_yield_t_ha,crop_id,crop_name,crop_season_type,ndvi_observations,ndvi_mean_season,ndvi_max_season,ndvi_early,ndvi_mid,ndvi_late,target_yield_t_ha
217,2017,408.0,408.48131,50.43109339579996,82.33960413919709,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,97,0.45573195876288664,0.7,0.3108484848484848,0.6365937500000001,0.42428125,9.526
217,2018,408.0,408.48131,50.43109339579996,82.33960413919709,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,94,0.46098936170212773,0.606,0.44753125,0.44870967741935475,0.4871612903225807,11.881
217,2019,408.0,408.48131,50.43109339579996,82.33960413919709,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,97,0.48244329896907223,0.715,0.40024242424242423,0.68778125,0.36187499999999995,21.411
217,2020,408.0,408.48131,50.43109339579996,82.33960413919709,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,83,0.3821807228915663,0.544,0.32771428571428574,0.509107142857143,0.30703703703703705,19.61
217,2021,408.0,408.48131,50.43109339579996,82.33960413919709,10,2,6,1,0,0,0,39.66849676805868,65.37776506074161,32.527033353424535,137.57329518222483,2021-04-21,2021-10-10,172.0,169.0,2.768578431372549,40.0,Подсолнечник,spring,90,0.47506666666666675,0.785,0.3102333333333333,0.7204333333333331,0.39453333333333335,31.133
217,2022,408.0,408.48131,50.43109339579996,82.33960413919709,16,7,7,1,0,0,0,71.37189031862746,0.0,0.0,71.37189031862746,2021-08-02,2022-09-04,398.0,119.0,3.0637254901960786,43.0,Пшеница яровая,spring,105,0.3793999999999999,0.72,0.39557142857142863,0.5272857142857144,0.21534285714285714,34.127
217,2023,408.0,408.48131,50.43109339579996,82.33960413919709,14,3,7,1,0,0,0,68.11038961038962,0.0,0.0,68.11038961038962,2022-07-27,2023-09-01,401.0,126.0,2.021480392156863,3.0,Ячмень яровой,spring,92,0.3623695652173912,0.589,0.24061290322580642,0.4976774193548387,0.3483666666666666,16.278
217,2024,408.0,408.48131,50.43109339579996,82.33960413919709,14,6,6,1,0,0,0,44.9,50.14,0.0,95.03999999999999,2023-06-01,2024-09-28,485.0,155.0,2.9758823529411766,40.0,Подсолнечник,spring,90,0.48468888888888895,0.796,0.3736333333333333,0.7309666666666668,0.34946666666666676,33.542
218,2025,39.0,39.30376,50.39824303171275,82.31658540563066,15,6,7,1,0,0,0,81.6,0.0,0.0,81.6,2024-07-22,2025-09-25,430.0,143.0,4.112820512820513,43.0,Пшеница яровая,spring,89,0.44944943820224714,0.766,0.4049333333333333,0.6767999999999997,0.2603103448275862,26.461
218,2010,39.0,39.30376,50.39824303171275,82.31658540563066,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,97,0.388381443298969,0.728,0.44372727272727275,0.48975,0.2299375,24.997
