peer_row_id,year,standard_name,crop,variety,previous_crop_name,previous_crop_productivity_estimate_crop_name,previous_crop_standard_name,area,target_yield_t_ha,target_source,asof_tag,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_last_value_asof,ndvi_last_doy_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_slope_asof,ndvi_integral_asof,ndvi_last30d_mean_asof,ndvi_above_05_n_asof,sowing_known_asof,sowing_doy,days_after_sowing_asof
8639,2020,sunflower,sunflower,ЛГ5377,missing,missing,missing,88.65,3.4,productivity_estimate_peers_productivity_c_ha,07_01,45,0.27802222222222217,0.627,0.204,0.1127753891372658,0.209,0.296,0.627,180.0,180.0,0.42300000000000004,0.002330580495050807,32.679500000000004,0.41207142857142853,4,1,109.0,74.0
8640,2018,sunflower,sunflower,missing,Corn,maize,maize,92.86,3.41,productivity_estimate_peers_productivity_c_ha,07_01,43,0.23502325581395347,0.509,0.186,0.05876064510074316,0.2085,0.236,0.509,176.0,176.0,0.323,0.0011686773794808412,34.141,0.31828571428571434,1,1,115.0,67.0
8641,2022,sunflower,sunflower,missing,Winter Wheat,wheat_winter,wheat_winter,111.96,2.0,productivity_estimate_peers_productivity_c_ha,07_01,33,0.34575757575757576,0.607,0.23,0.09347987315477134,0.292,0.376,0.607,180.0,180.0,0.377,0.0021458708414872785,25.9815,0.3956666666666667,3,0,,
8642,2023,sunflower,sunflower,suzuka,Winter Wheat,wheat_winter,wheat_winter,126.19317,2.1399999999999997,productivity_estimate_peers_productivity_c_ha,07_01,44,0.23559090909090907,0.423,0.161,0.06256426448127274,0.188,0.255,0.423,173.0,173.0,0.262,0.001156936072637331,30.660000000000004,0.3074615384615385,0,1,138.0,44.0
8643,2025,sunflower,sunflower,"Суоми, Ароматик",Corn,maize,maize,218.8081,1.9350688000000003,productivity_estimate_peers_productivity_c_ha,07_01,47,0.28493617021276596,0.644,0.156,0.14115351598417386,0.2025,0.321,0.644,181.0,181.0,0.488,0.0026727790271058242,41.883,0.46842857142857147,6,1,119.0,63.0
8644,2023,sunflower,sunflower,Мелита КЛП,Winter Wheat,wheat_winter,wheat_winter,231.25,1.8470054,productivity_estimate_peers_productivity_c_ha,07_01,49,0.27085714285714285,0.63,0.163,0.13883083231040574,0.177,0.292,0.63,179.0,179.0,0.46699999999999997,0.0026114894512399,38.353,0.4497999999999999,7,1,133.0,49.0
8645,2018,sunflower,sunflower,missing,Winter Rapeseed,oil_seed_raps_winter,oil_seed_raps_winter,51.14985,2.298012195,productivity_estimate_peers_productivity_c_ha,07_01,38,0.22894736842105262,0.286,0.196,0.01717701550025047,0.218,0.234,0.286,158.0,158.0,0.08999999999999997,0.00027916188406985334,28.942999999999998,0.266,0,0,,
8646,2022,sunflower,sunflower,missing,Spring Barley,barley_spring,barley_spring,294.93,2.7,productivity_estimate_peers_productivity_c_ha,07_01,33,0.2987575757575757,0.581,0.193,0.11975809716485684,0.203,0.34,0.581,178.0,178.0,0.38799999999999996,0.004693983129413648,18.1325,0.391,4,0,,
8647,2018,sunflower,sunflower,missing,Corn,maize,maize,253.75,2.71,productivity_estimate_peers_productivity_c_ha,07_01,49,0.2618367346938775,0.676,0.16,0.11557281421362095,0.17,0.312,0.676,180.0,180.0,0.516,0.0021456277377880843,37.7045,0.4070000000000001,1,1,138.0,44.0
8648,2015,sunflower,sunflower,ЛГ 5654,Spring Barley,barley_spring,barley_spring,123.76,2.574,productivity_estimate_peers_productivity_c_ha,07_01,27,0.2752222222222222,0.739,0.155,0.11972324052157816,0.208,0.2955,0.739,178.0,178.0,0.584,0.004088145161290314,27.0255,0.41112499999999996,1,1,120.0,62.0
8649,2016,sunflower,sunflower,missing,Spring Wheat,wheat_spring,wheat_spring,323.52,2.4,productivity_estimate_peers_productivity_c_ha,07_01,32,0.23890625,0.628,0.165,0.10781504978868905,0.18675,0.216,0.628,182.0,182.0,0.46299999999999997,0.00392906117439906,19.5935,0.3646666666666667,1,0,,
8650,2023,sunflower,sunflower,Имми КЛ_50; Клип КЛП_50; НК Неома_160,Corn,maize,maize,260.0,2.933,productivity_estimate_peers_productivity_c_ha,07_01,35,0.22631428571428572,0.514,0.158,0.09225578462036062,0.161,0.242,0.514,176.0,176.0,0.356,0.0012456894947974763,29.205000000000002,0.32816666666666666,1,1,127.0,55.0
8651,2020,sunflower,sunflower,Тоскана,Soybean,soya,soya,178.88,3.01581908316159,productivity_estimate_peers_productivity_c_ha,07_01,41,0.2753414634146341,0.587,0.199,0.10504856246473436,0.214,0.285,0.587,180.0,180.0,0.38799999999999996,0.0015066786289565197,45.003,0.40549999999999997,4,1,122.0,61.0
8652,2020,sunflower,sunflower,Тоскана,Soybean,soya,soya,178.88,3.0158190831615883,productivity_estimate_peers_productivity_c_ha,07_01,41,0.2753414634146341,0.587,0.199,0.10504856246473436,0.214,0.285,0.587,180.0,180.0,0.38799999999999996,0.0015066786289565197,45.003,0.40549999999999997,4,1,122.0,61.0
8653,2016,sunflower,sunflower,missing,Winter Wheat,wheat_winter,wheat_winter,195.76162,2.94,productivity_estimate_peers_productivity_c_ha,07_01,28,0.2659285714285714,0.462,0.18,0.079063233541003,0.191,0.32375,0.462,180.0,180.0,0.28200000000000003,0.0019355372103856297,26.879000000000005,0.3418333333333334,0,1,146.0,37.0
8654,2023,sunflower,sunflower,НК Неома,Corn,maize,maize,125.3958,2.9253968,productivity_estimate_peers_productivity_c_ha,07_01,41,0.2495121951219512,0.6,0.167,0.08854766442808779,0.182,0.296,0.6,182.0,182.0,0.43299999999999994,0.0012169492988738408,38.358999999999995,0.34435714285714275,1,1,143.0,404.0
8655,2022,sunflower,sunflower,missing,Fallow,fallow,fallow,48.47,2.9,productivity_estimate_peers_productivity_c_ha,07_01,52,0.3016153846153846,0.513,0.215,0.0677058552876831,0.27275000000000005,0.3105,0.513,182.0,182.0,0.29800000000000004,0.0023028153397026555,25.263499999999997,0.3733333333333333,2,0,,
8656,2019,sunflower,sunflower,ПР64Ф66/ 50 тыс/га,Winter Wheat,wheat_winter,wheat_winter,119.6946,3.18,productivity_estimate_peers_productivity_c_ha,07_01,48,0.284125,0.47,0.167,0.06576461339504704,0.25175000000000003,0.309,0.47,178.0,178.0,0.30299999999999994,0.0025692918047394465,23.274,0.32721052631578945,0,1,149.0,33.0
