field_id,year,field_tillable_area,field_calculated_area,field_lat,field_long,ops_count_total,ops_count_soil,ops_count_application,ops_count_harvesting,ops_count_seeding,ops_count_tillage,ops_count_spraying,ops_npk_n_total,ops_npk_p_total,ops_npk_k_total,ops_npk_total,ops_season_start,ops_season_end,ops_season_duration_days,ops_days_seeding_to_harvest,ops_yield_t_ha,crop_id,crop_name,crop_season_type,ndvi_observations,ndvi_mean_season,ndvi_max_season,ndvi_early,ndvi_mid,ndvi_late,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_N_NO3,field_soil_Mg,field_soil_CEC,field_soil_Ca_saturation,weather_temp_avg_season,weather_gdd_season,weather_precip_sum_season,weather_precip_sum_early,weather_hot_days,target_yield_t_ha,prev_crop_id
215,2023,79.0,78.14849,50.481633621513765,82.55476060472243,13,4,5,1,0,0,0,18.446075949367092,0.0,0.0,18.446075949367092,2022-07-27,2023-08-22,391.0,116.0,2.2745063291139243,3.0,Ячмень яровой,spring,79,0.46240506329113934,0.604,0.3475185185185185,0.5598461538461538,0.48426923076923073,6.666666666666667,3.776666666666667,192.12,392.99891,12.116666666666667,,430.0,,,15.950489130434782,1221.05,324.20000000000005,89.8,42.0,24.396,43.0
215,2024,79.0,78.14849,50.481633621513765,82.55476060472243,14,3,8,1,0,0,0,104.446835443038,39.1,0.0,143.546835443038,2023-06-01,2024-07-31,426.0,341.0,4.476708860759494,44.0,Пшеница озимая,winter,79,0.49011392405063303,0.747,0.6745555555555556,0.4774999999999999,0.3111923076923077,6.666666666666667,3.776666666666667,192.12,392.99891,12.116666666666667,,430.0,,,15.703804347826088,1234.36,266.7,189.4,32.0,42.056,3.0
215,2025,79.0,78.14849,50.481633621513765,82.55476060472243,15,6,7,1,0,0,0,43.99559984468101,46.0,0.0,89.99559984468101,2024-07-22,2025-09-26,431.0,151.0,3.0739240506329115,40.0,Подсолнечник,spring,87,0.5085402298850575,0.73,0.4420689655172414,0.6947241379310346,0.3888275862068966,6.666666666666667,3.776666666666667,192.12,392.99891,12.116666666666667,,430.0,,,15.06396739130435,1205.04,598.56,310.95,24.0,25.924,44.0
216,2021,37.0,37.51924,50.46224047423968,82.54079808685997,7,1,5,1,0,0,0,38.900555555555556,62.95055555555555,32.22,134.07111111111112,2021-04-21,2021-09-24,156.0,153.0,2.925945945945946,40.0,Подсолнечник,spring,81,0.5345802469135803,0.759,0.45292592592592595,0.7082592592592591,0.4425555555555556,6.4,3.71,242.68,688.96085,7.64,,540.0,,,14.716576086956524,1128.4399999999998,256.4,142.1,35.0,26.041,43.0
216,2022,37.0,37.51924,50.46224047423968,82.54079808685997,14,5,7,1,0,0,0,63.478007384470274,0.0,0.0,63.478007384470274,2021-08-02,2022-09-01,395.0,108.0,3.1270270270270273,43.0,Пшеница яровая,spring,89,0.471876404494382,0.742,0.4482333333333334,0.6406666666666666,0.3217241379310345,6.4,3.71,242.68,688.96085,7.64,,540.0,,,17.957712418300652,1994.12,148.2,110.9,42.0,39.809,40.0
216,2023,37.0,37.51924,50.46224047423968,82.54079808685997,12,3,5,1,0,0,0,18.700000000000003,0.0,0.0,18.700000000000003,2022-07-27,2023-08-22,391.0,116.0,2.696783783783784,3.0,Ячмень яровой,spring,79,0.5095189873417721,0.664,0.42622222222222217,0.6009615384615384,0.504576923076923,6.4,3.71,242.68,688.96085,7.64,,540.0,,,15.950489130434782,1221.05,324.20000000000005,89.8,42.0,25.551,43.0
216,2024,37.0,37.51924,50.46224047423968,82.54079808685997,14,3,8,1,0,0,0,91.92,38.64,0.0,130.56,2023-06-01,2024-07-31,426.0,341.0,5.342162162162162,44.0,Пшеница озимая,winter,76,0.5318026315789474,0.781,0.6886538461538461,0.55796,0.34251999999999994,6.4,3.71,242.68,688.96085,7.64,,540.0,,,15.703804347826088,1234.36,266.7,189.4,32.0,53.586,3.0
216,2025,37.0,37.51924,50.46224047423968,82.54079808685997,15,6,7,1,0,0,0,43.9955998446973,46.0,0.0,89.9955998446973,2024-07-22,2025-09-26,431.0,151.0,2.986756756756757,40.0,Подсолнечник,spring,84,0.5499047619047619,0.772,0.4933928571428572,0.7134285714285714,0.44289285714285714,6.4,3.71,242.68,688.96085,7.64,,540.0,,,15.06396739130435,1205.04,598.56,310.95,24.0,28.421,44.0
217,2021,408.0,408.48131,50.43109339579996,82.33960413919709,10,2,6,1,0,0,0,39.66849676805868,65.37776506074161,32.527033353424535,137.57329518222483,2021-04-21,2021-10-10,172.0,169.0,2.768578431372549,40.0,Подсолнечник,spring,90,0.47506666666666675,0.785,0.3102333333333333,0.7204333333333331,0.39453333333333335,6.94,3.484666666666667,201.10266666666664,313.7409,4.662000000000001,,472.0,,,14.716576086956524,1128.4399999999998,256.4,142.1,35.0,31.133,43.0
217,2022,408.0,408.48131,50.43109339579996,82.33960413919709,16,7,7,1,0,0,0,71.37189031862746,0.0,0.0,71.37189031862746,2021-08-02,2022-09-04,398.0,119.0,3.0637254901960786,43.0,Пшеница яровая,spring,91,0.40838461538461535,0.72,0.35793548387096774,0.6152333333333334,0.25366666666666665,6.94,3.484666666666667,201.10266666666664,313.7409,4.662000000000001,,472.0,,,17.957712418300652,1994.12,148.2,110.9,42.0,34.127,40.0
