feature,importance,scenario,asof_tag
ndvi_anom_mean_asof,5.702182784874651,wheat_combined,08_01
ndvi_anom_max_asof,0.9505964962434351,wheat_combined,08_01
ndvi_anom_min_asof,0.8861698605323426,wheat_combined,08_01
ndvi_anom_last_value_asof,0.2553608769478537,wheat_combined,08_01
ndvi_anom_last30d_mean_asof,1.5273738660207512,wheat_combined,08_01
ndvi_baseline_n_years,0.33833010221701293,wheat_combined,08_01
sowing_date_valid,0.0,wheat_combined,08_01
days_after_sowing_asof,0.052499486134056264,wheat_combined,08_01
sowing_doy,0.10701819842471837,wheat_combined,08_01
gdd_base_temp,0.0,wheat_combined,08_01
gdd_from_sowing_asof,0.0,wheat_combined,08_01
wx_sow_precip_sum,0.13664224609862938,wheat_combined,08_01
wx_sow_et0_sum,0.0021755857075439924,wheat_combined,08_01
wx_sow_water_balance,0.3864229999113713,wheat_combined,08_01
wx_sow_srad_sum,0.0,wheat_combined,08_01
wx_sow_vpd_max,0.0,wheat_combined,08_01
wx_sow_vpd_days_high,0.13073804613693332,wheat_combined,08_01
wx_sow_hot_d30,0.0267169209518926,wheat_combined,08_01
wx_sow_dry_days,0.0,wheat_combined,08_01
wx_sow_drought_run,0.019460405119565906,wheat_combined,08_01
ndvi_sow_n_obs,0.0,wheat_combined,08_01
ndvi_sow_mean,0.4805615171204433,wheat_combined,08_01
ndvi_sow_max,0.6604104231274031,wheat_combined,08_01
ndvi_sow_last,0.25007939701749843,wheat_combined,08_01
ndvi_sow_peak_das,0.009101007727305278,wheat_combined,08_01
ndvi_at_das_30,0.6941821490820754,wheat_combined,08_01
ndvi_at_das_45,1.1098079676136265,wheat_combined,08_01
ndvi_at_das_60,1.0502061084265695,wheat_combined,08_01
ndvi_at_das_75,0.00852988081585303,wheat_combined,08_01
ndvi_at_das_90,0.08062546107526157,wheat_combined,08_01
ndvi_at_das_120,0.21780854934356067,wheat_combined,08_01
ndvi_sow_peak_gdd,0.1567231530230125,wheat_combined,08_01
ndvi_at_sow_gdd_200,0.15408209478795995,wheat_combined,08_01
ndvi_at_sow_gdd_400,0.2275143244713759,wheat_combined,08_01
