field_id,year,crop_id,productivity,harvested_weight,standard_name,field_name,tillable_area,physical_t_ha,abnormally_low,abnormally_high
230,2025,43.0,36.687444,818.13,wheat_spring,Бригадная стрелка,223.0,3.6687443946188343,False,False
231,2025,24.0,13.324255,313.12,pea,Давыдкин увал левый,235.0,1.3324255319148937,False,False
232,2025,24.0,18.102027,535.82,pea,Давыдкин увал правый,296.0,1.8102027027027028,False,False
197,2025,43.0,37.794169,1296.34,wheat_spring,Казачий увал,343.0,3.779416909620991,False,False
208,2025,43.0,38.430769,499.6,wheat_spring,Карелкино,130.0,3.8430769230769233,False,False
209,2025,40.0,32.871963,703.46,sunflower,Козлов Увал левый,301.65,2.332040444223438,False,False
210,2025,40.0,31.925506,788.56,sunflower,Козлов увал правый,247.0,3.192550607287449,False,False
195,2025,43.0,27.195122,334.5,wheat_spring,Коновалиха 1,123.0,2.7195121951219514,False,False
212,2025,43.0,17.024265,231.53,wheat_spring,Костенькина стрелка,136.0,1.7024264705882353,False,False
234,2025,62.0,44.948571,157.32,,Красный яр,35.0,4.494857142857143,False,False
213,2025,3.0,15.3,21.42,barley_spring,Лесополосы (Козлов увал левый) 05-080-025-182,14.0,1.53,False,False
214,2025,3.0,15.3,13.77,barley_spring,Лесополосы (Козлов увал правый) 05-080-025-208,9.0,1.53,False,False
215,2025,40.0,30.739241,242.84,sunflower,Лоскутиха,79.0,3.0739240506329115,False,False
216,2025,40.0,29.867568,110.51,sunflower,Никитушкин,37.0,2.986756756756757,False,False
217,2025,43.0,25.629902,1045.7,wheat_spring,Овчинников увал,408.0,2.5629901960784314,False,False
218,2025,43.0,41.128205,160.4,wheat_spring,Палатьи,39.0,4.112820512820513,False,False
219,2025,3.0,35.280952,740.9,barley_spring,Подхозный увал 1,210.0,3.528095238095238,False,False
220,2025,43.0,33.072,82.68,wheat_spring,Сапог,25.0,3.3072000000000004,False,False
222,2025,40.0,29.722581,184.28,sunflower,Соколки 1,62.0,2.972258064516129,False,False
223,2025,40.0,33.051429,231.36,sunflower,Соколки 2,70.0,3.305142857142857,False,False
224,2025,40.0,30.742308,319.72,sunflower,Холодный ключ,104.0,3.0742307692307693,False,False
226,2025,40.0,30.42,121.68,sunflower,Штаны,40.0,3.0420000000000003,False,False
