scenario,feature,spearman,n
wheat,wx_jul_srad,-0.27118444249181706,88
wheat,wx_jul_et0,-0.6187459865710816,88
wheat,wx_jul_vpd_max,-0.7213097721388828,88
wheat,wx_jul_hot_d30,-0.4681355917351914,88
wheat,ndvi_anom_mean_asof,0.770638324131918,88
wheat,ndvi_anom_max_asof,0.6496658242813272,88
wheat,ndvi_anom_min_asof,0.4024550249797201,88
wheat,ndvi_anom_last_value_asof,0.2751160149098852,88
wheat,ndvi_anom_last30d_mean_asof,0.56476140998817,88
wheat,ndvi_baseline_n_years,0.45397428276165314,88
wheat,sowing_date_valid,,88
wheat,days_after_sowing_asof,-0.1238930969570679,66
wheat,sowing_doy,-0.07413771547085699,66
wheat,gdd_base_temp,,66
wheat,gdd_from_sowing_asof,-0.17724373788225659,66
wheat,wx_sow_precip_sum,0.21059340183956038,66
wheat,wx_sow_et0_sum,-0.3430420786745775,66
wheat,wx_sow_water_balance,0.5092389713251945,66
wheat,wx_sow_srad_sum,-0.23679128652640735,66
wheat,wx_sow_vpd_max,-0.4815348258645007,66
wheat,wx_sow_vpd_days_high,-0.5456105164637415,66
wheat,wx_sow_hot_d30,-0.40564632842178466,66
wheat,wx_sow_dry_days,-0.29280385217792837,66
wheat,wx_sow_drought_run,-0.36168174764426847,66
wheat,ndvi_sow_n_obs,-0.2040927876311873,66
wheat,ndvi_sow_mean,0.5707754931635529,66
wheat,ndvi_sow_max,0.6390422612002525,66
wheat,ndvi_sow_last,0.08589917545141428,66
wheat,ndvi_sow_peak_das,-0.29231721268968197,66
wheat,ndvi_at_das_30,0.47774217456077417,66
wheat,ndvi_at_das_45,0.4547959503183385,66
wheat,ndvi_at_das_60,0.38863636363636367,65
wheat,ndvi_at_das_75,0.3801393728222997,41
wheat,ndvi_at_das_90,0.6841025641025641,26
wheat,ndvi_at_das_120,0.6923076923076923,26
wheat,ndvi_sow_peak_gdd,-0.5002191838012735,66
wheat,ndvi_at_sow_gdd_200,0.5401315102807641,66
wheat,ndvi_at_sow_gdd_400,0.5471453919215113,66
wheat,ndvi_at_sow_gdd_600,0.7030372612462166,66
wheat,ndvi_at_sow_gdd_800,0.6614510489510489,65
wheat,ndvi_at_sow_gdd_1000,0.28708827404479575,45
wheat,ndvi_at_sow_gdd_1200,0.5487179487179487,26
wheat,ndvi_growth_per_100gdd_from_sow,0.3505897087986641,66
wheat,scout_n_reports_asof,0.31809841014935825,88
wheat,scout_has_report_asof,,88
wheat,soil_sample_n_asof,-0.09640188218978334,88
wheat,soil_sample_has_asof,,88
wheat,soil_sample_days_since_latest,0.47124524800399314,72
wheat,soil_sample_n_tests_asof,,72
wheat,soil_sample_latest_soil_K,0.02525821766125646,72
wheat,soil_sample_mean_soil_K,0.010650280313217693,72
wheat,soil_sample_latest_soil_P,0.17407255738521968,72
wheat,soil_sample_mean_soil_P,0.1706297175256599,72
wheat,soil_sample_latest_soil_S,0.09620645962695137,72
wheat,soil_sample_mean_soil_S,0.06583224628653594,72
wheat,soil_sample_latest_soil_Cu,0.1185366546039093,72
wheat,soil_sample_mean_soil_Cu,0.1218829662431076,72
wheat,soil_sample_latest_soil_Fe,0.1327906551439559,72
wheat,soil_sample_mean_soil_Fe,0.17844850337494053,72
wheat,soil_sample_latest_soil_Mg,0.19585733556326765,72
wheat,soil_sample_mean_soil_Mg,0.15718011882195898,72
wheat,soil_sample_latest_soil_Mn,-0.027060077774670937,72
wheat,soil_sample_mean_soil_Mn,0.03442839859559798,72
wheat,soil_sample_latest_soil_Mo,0.010447865540517914,72
wheat,soil_sample_mean_soil_Mo,0.08573941973940621,72
wheat,soil_sample_latest_soil_Zn,0.2424203911515905,72
wheat,soil_sample_mean_soil_Zn,0.23968535886490544,72
wheat,soil_sample_latest_soil_pH,0.06890838921766208,72
wheat,soil_sample_mean_soil_pH,0.017922217169170376,72
wheat,soil_sample_latest_soil_N_NO3,-0.06314120810356923,62
wheat,soil_sample_mean_soil_N_NO3,-0.08846727441070795,72
wheat,soil_sample_latest_soil_organic_matter,-0.19617751984800083,72
wheat,soil_sample_mean_soil_organic_matter,-0.1707584218194752,72
wheat,soil_sample_latest_soil_B,-0.10303030303030303,10
wheat,soil_sample_mean_soil_B,-0.10303030303030303,10
wheat,soil_sample_latest_soil_N,-0.23636363636363633,10
wheat,soil_sample_mean_soil_N,-0.23636363636363633,10
wheat,scout_last_report_doy,0.06348744328822667,52
wheat,scout_days_since_last_report,-0.05505434497823873,52
wheat,scout_growth_stage_max,-0.03899323006266227,44
wheat,scout_growth_stage_last,-0.03899323006266227,44
wheat,scout_risk_yield_decreasing_n,,52
wheat,scout_risk_yield_decreasing_any,,52
wheat,scout_condition_score_min,0.5955205054609841,46
wheat,scout_condition_score_last,0.44538773490688094,46
wheat,scout_condition_bad_n,,52
wheat,scout_condition_not_good_n,-0.5242765972522889,52
wheat,scout_threat_reports_n,-0.16518127570159533,52
wheat,scout_threat_total_n,-0.16518127570159533,52
wheat,scout_threat_disease_any,,52
wheat,scout_threat_insect_any,,52
wheat,scout_threat_weed_any,,52
sunflower,prev_crop_id,0.2328783667921738,56
sunflower,field_tillable_area,0.018439182164062984,59
sunflower,field_soil_pH,-0.18890674028945242,55
sunflower,field_soil_OM,-0.09345157473305274,55
sunflower,field_soil_P,0.10139018393388945,55
sunflower,field_soil_K,0.17974370926741512,55
sunflower,field_soil_N,-0.09588575884710912,53
sunflower,field_soil_Mg,0.10074298350724685,55
sunflower,ndvi_n_obs_asof,0.15850854991897398,59
sunflower,ndvi_mean_asof,0.004441911775923839,59
sunflower,ndvi_max_asof,0.19856467350268736,59
sunflower,ndvi_min_asof,-0.059565769502957125,59
sunflower,ndvi_std_asof,0.04991306127156524,59
sunflower,ndvi_p25_asof,0.06501059405676665,59
sunflower,ndvi_p75_asof,0.13016471952906403,59
sunflower,ndvi_slope_asof,-0.06557664490245457,59
sunflower,ndvi_last_value_asof,-0.102838438723992,59
sunflower,ndvi_integral_asof,0.11750610033545894,59
sunflower,ndvi_peak_doy_asof,-0.08055737317732302,59
sunflower,ndvi_amplitude_asof,0.1798240505552777,59
sunflower,ndvi_above_05_days_asof,0.011142860651710372,59
sunflower,years_since_sunflower,0.22877506482436807,59
sunflower,years_since_wheat,-0.08845169346697551,59
sunflower,wx_temp_mean_to_asof,0.24778927758211194,59
sunflower,wx_temp_max_to_asof,0.2247896065628358,59
sunflower,wx_precip_sum_to_asof,0.31779121297469437,59
sunflower,wx_srad_sum_to_asof,-0.06144939767934643,59
sunflower,wx_vpd_max_to_asof,0.05918389272255426,59
sunflower,wx_vpd_mean_to_asof,-0.13836365807303747,59
sunflower,wx_vpd_days_high_to_asof,-0.045267529889060465,59
sunflower,wx_et0_sum_to_asof,-0.09589078784744619,59
sunflower,wx_water_balance_to_asof,0.28474440055463035,59
sunflower,wx_gdd_sunflower_to_asof,0.26067666317739907,59
sunflower,wx_hot_d30_to_asof,0.12814477408656988,59
sunflower,wx_dry_days_to_asof,-0.33268560215774046,59
sunflower,wx_drought_run_to_asof,-0.2444865700560908,59
sunflower,wx_heat_run_to_asof,0.039169848950648165,59
sunflower,wx_apr_precip,0.3220347013239916,59
sunflower,wx_apr_srad,-0.07216935933360802,59
sunflower,wx_apr_et0,0.16393664768178665,59
sunflower,wx_may_precip,0.2738523565564195,59
sunflower,wx_may_temp_mean,0.11721662989167991,59
sunflower,wx_may_temp_max,0.09402317347256266,59
sunflower,wx_may_srad,-0.23800658033478034,59
sunflower,wx_may_et0,-0.17945485151664053,59
sunflower,wx_may_vpd_max,-0.05890144947395919,59
sunflower,wx_jun_precip,-0.013004543646153392,59
sunflower,wx_jun_temp_mean,0.24538753753935386,59
sunflower,wx_jun_temp_max,0.10986980025439513,59
sunflower,wx_jun_srad,0.27344689072181994,59
sunflower,wx_jun_et0,0.16821147364384073,59
sunflower,wx_jun_vpd_max,0.0036911287923204104,59
sunflower,wx_jun_hot_d30,0.16180015117179386,59
sunflower,wx_jul_precip,0.3480765691236192,59
sunflower,wx_jul_temp_mean,-0.09079748942134125,59
sunflower,wx_jul_temp_max,0.07312272474805412,59
sunflower,wx_jul_srad,-0.18270798032591185,59
sunflower,wx_jul_et0,-0.40443952749214485,59
sunflower,wx_jul_vpd_max,-0.08091763500058231,59
sunflower,wx_jul_hot_d30,0.07646234605779856,59
sunflower,ndvi_anom_mean_asof,0.17051681060865528,59
sunflower,ndvi_anom_max_asof,0.30625812770843314,59
sunflower,ndvi_anom_min_asof,-0.0012858165667147955,59
sunflower,ndvi_anom_last_value_asof,0.308537529803973,59
sunflower,ndvi_anom_last30d_mean_asof,0.29614693379744855,59
sunflower,ndvi_baseline_n_years,0.3608372322921235,59
sunflower,sowing_date_valid,,59
sunflower,days_after_sowing_asof,-0.037940589105447835,42
sunflower,sowing_doy,0.0629393797206385,42
sunflower,gdd_base_temp,,42
sunflower,gdd_from_sowing_asof,0.12617583639142219,42
sunflower,wx_sow_precip_sum,0.3782401867468287,42
sunflower,wx_sow_et0_sum,-0.4289306018755548,42
sunflower,wx_sow_water_balance,0.46071525139071884,42
sunflower,wx_sow_srad_sum,-0.14661048341625407,42
sunflower,wx_sow_vpd_max,-0.1373331316808498,42
sunflower,wx_sow_vpd_days_high,-0.40678473924519365,42
sunflower,wx_sow_hot_d30,-0.049746508329052676,42
sunflower,wx_sow_dry_days,-0.4230040078297474,42
sunflower,wx_sow_drought_run,-0.2150696873705462,42
sunflower,ndvi_sow_n_obs,0.03931893166155477,42
sunflower,ndvi_sow_mean,0.1258406936228831,42
sunflower,ndvi_sow_max,0.12681820033909266,42
sunflower,ndvi_sow_last,-0.17186613726602384,42
sunflower,ndvi_sow_peak_das,-0.18054220357631115,42
sunflower,ndvi_at_das_30,-0.09423871647354347,42
sunflower,ndvi_at_das_45,0.20703346568349407,42
sunflower,ndvi_at_das_60,0.26035167328417474,42
sunflower,ndvi_at_das_75,-0.08192204845636496,42
sunflower,ndvi_at_das_90,,3
sunflower,ndvi_at_das_120,,0
sunflower,ndvi_sow_peak_gdd,-0.15900158146572183,42
sunflower,ndvi_at_sow_gdd_200,-0.06004375658374525,42
sunflower,ndvi_at_sow_gdd_400,-0.04416173729843611,42
sunflower,ndvi_at_sow_gdd_600,0.2525727250627988,42
sunflower,ndvi_at_sow_gdd_800,0.1939064905599222,42
sunflower,ndvi_at_sow_gdd_1000,-0.07057774896685845,42
sunflower,ndvi_at_sow_gdd_1200,,0
sunflower,ndvi_growth_per_100gdd_from_sow,-0.006077303297949924,42
sunflower,scout_n_reports_asof,0.3125534527043973,59
sunflower,scout_has_report_asof,,59
sunflower,soil_sample_n_asof,0.28002788485719865,59
sunflower,soil_sample_has_asof,,59
sunflower,soil_sample_days_since_latest,-0.023559592965650866,36
sunflower,soil_sample_n_tests_asof,,36
sunflower,soil_sample_latest_soil_K,0.05754747642772432,36
sunflower,soil_sample_mean_soil_K,0.007595751922227595,36
sunflower,soil_sample_latest_soil_P,0.2148696603084382,36
sunflower,soil_sample_mean_soil_P,0.23778565763312492,36
sunflower,soil_sample_latest_soil_S,0.20637271748018363,36
sunflower,soil_sample_mean_soil_S,0.13659479304209285,36
sunflower,soil_sample_latest_soil_Cu,0.28876731460265254,36
