scenario,asof_tag,year,n,n_ml,n_cw,target_mean,ml_mape,ml_mae,cw_mape,cw_mae
sunflower,09_01,2024,10,10,10,2.9223278808965927,19.366635064325113,0.5702499075517695,13.471903830558599,0.37225851843987223
sunflower,09_01,2025,8,8,8,2.9973629437237888,18.686743458858786,0.5697563784438467,13.640944047576243,0.394520140360237
wheat_combined,07_01,2019,4,0,4,3.9475,,,17.10269980467701,0.6579999999999999
wheat_combined,07_01,2020,19,0,19,0.8161052631578948,,,339.2574494844092,1.271178947368421
wheat_combined,07_01,2021,10,0,10,2.9011168621396424,,,22.873928003855053,0.6724543770467033
wheat_combined,07_01,2022,23,23,23,2.7222242258797276,31.20274255824932,0.9242309880407348,23.85728476884929,0.571680840480819
wheat_combined,07_01,2023,10,10,10,1.7122344553445346,44.61597930656712,0.6631696716307729,86.1563094243689,1.1462739760280145
wheat_combined,07_01,2024,12,12,12,4.191540696863256,25.773278980893217,1.2232787375267105,11.134954432193648,0.44388466386355513
wheat_combined,07_01,2025,10,10,10,3.220576387311232,18.628770952751044,0.5843041209570918,18.11440121332665,0.5601319787920221
wheat_combined,08_01,2019,4,0,4,3.9475,,,13.972976295713488,0.51915
wheat_combined,08_01,2020,19,0,19,0.8161052631578948,,,288.6664347048464,1.1908526315789474
wheat_combined,08_01,2021,10,0,10,2.9011168621396424,,,45.91094599918911,0.9566789716412977
wheat_combined,08_01,2022,23,23,23,2.7222242258797276,33.64300336314852,1.0302377031074528,22.65334080072735,0.515919299268085
wheat_combined,08_01,2023,10,10,10,1.7122344553445346,30.792999596398317,0.4889123610722438,69.08127913406854,0.9353793606433991
wheat_combined,08_01,2024,12,12,12,4.191540696863256,22.97623848836835,1.1151681758172596,11.996395619844252,0.4490646260838398
wheat_combined,08_01,2025,10,10,10,3.220576387311232,20.42181111376573,0.6205663241543998,20.220299959689232,0.5956653607162201
wheat_combined,09_01,2019,4,0,4,3.9475,,,13.972976295713488,0.51915
wheat_combined,09_01,2020,19,0,19,0.8161052631578948,,,286.58666781356976,1.1788315789473685
wheat_combined,09_01,2021,10,0,10,2.9011168621396424,,,42.32350301167981,0.9027189716412977
wheat_combined,09_01,2022,23,23,23,2.7222242258797276,32.837883523988225,1.0191799494784166,26.45066989384512,0.6014863132265434
wheat_combined,09_01,2023,10,10,10,1.7122344553445346,44.87924430537109,0.6388241040130247,72.04689224100508,1.015289360643399
wheat_combined,09_01,2024,12,12,12,4.191540696863256,34.94792781009024,1.574841994148365,10.396786521700419,0.38700980507742305
wheat_combined,09_01,2025,10,10,10,3.220576387311232,22.309773085769994,0.7005524016862898,21.057995317388603,0.6273253607162202
all_crops,07_01,2018,8,0,8,2.160125,,,81.36896818815715,1.9350875000000003
all_crops,07_01,2019,21,0,21,2.602904761904762,,,20.368953709270667,0.5146571428571429
all_crops,07_01,2020,24,0,24,0.7197916666666666,,,383.51429505200963,1.388725
all_crops,07_01,2021,30,30,30,2.6032064391431007,24.04775664967798,0.6607873339888539,24.17968805298508,0.6131248487768078
all_crops,07_01,2022,26,26,26,2.6289241430702392,34.44844001312688,0.9415454772917228,34.92863169948739,0.6992664718596056
all_crops,07_01,2023,23,23,23,2.2746206211887063,33.41974794630392,0.7710341963601693,50.73267634645926,0.8903664434186297
all_crops,07_01,2024,23,23,23,3.5882394372051323,21.968789466933618,0.8685243613713226,15.544645355678188,0.5176634528618432
all_crops,07_01,2025,25,25,25,2.878497782810581,28.69326096017708,0.6843421951772726,28.07330584641964,0.6403028025522614
all_crops,08_01,2018,8,0,8,2.160125,,,41.20612319943807,0.7037125000000002
all_crops,08_01,2019,21,0,21,2.602904761904762,,,20.952878516797675,0.5229999999999999
all_crops,08_01,2020,24,0,24,0.7197916666666666,,,322.44128942716196,1.2269291666666666
all_crops,08_01,2021,30,30,30,2.6032064391431007,25.86092703076598,0.7700024209948586,31.78121161010703,0.6812677606080744
all_crops,08_01,2022,26,26,26,2.6289241430702392,32.09313479123418,0.8472245725645563,30.149932076215887,0.5924966469406485
all_crops,08_01,2023,23,23,23,2.2746206211887063,35.04221557069659,0.9269786511209938,41.030485647526056,0.73240062944412
all_crops,08_01,2024,23,23,23,3.5882394372051323,22.322231892361486,0.8948361749984355,13.711980303499265,0.43530887347935987
all_crops,08_01,2025,25,25,25,2.878497782810581,30.228018243370357,0.7199398554620289,33.3172611650839,0.7241199957337809
all_crops,09_01,2018,8,0,8,2.160125,,,37.1612236300943,0.7539125
all_crops,09_01,2019,21,0,21,2.602904761904762,,,26.341400461585767,0.6185047619047618
all_crops,09_01,2020,24,0,24,0.7197916666666666,,,320.7800803558354,1.2192625
all_crops,09_01,2021,30,30,30,2.6032064391431007,32.43752075386716,0.948024027321857,31.74715403216289,0.6739560483429404
all_crops,09_01,2022,26,26,26,2.6289241430702392,30.723401427006557,0.879092652822458,29.911701277025383,0.6178136208269773
all_crops,09_01,2023,23,23,23,2.2746206211887063,38.26772457532201,0.7113430321456835,39.992860113806486,0.7238439427000453
all_crops,09_01,2024,23,23,23,3.5882394372051323,25.643020427600625,1.0035294181204764,12.105518809842044,0.38854621569281456
all_crops,09_01,2025,25,25,25,2.878497782810581,27.553416466000456,0.7029019903257003,29.3278423539857,0.63665007473586
