field_id,year,yield_t_ha,harvested_weight_t,completed_area_ha,completed_date,humidity,protein_content,oil_content,operation_id
251,2025,2.7562992125984254,350.05,127.0,2025-08-21,0.0,0.0,0.0,35732
252,2021,2.8787951807228915,238.94,83.0,2021-08-19,0.0,0.0,0.0,6601
252,2022,2.358144578313253,195.726,83.0,2022-08-06,0.0,0.0,0.0,8814
252,2023,2.8884457831325303,239.741,83.0,2023-10-17,16.8,0.0,0.0,12987
252,2024,3.254939759036145,270.16,83.0,2024-08-27,0.0,0.0,0.0,30476
252,2025,2.143734939759036,177.93,83.0,2025-08-21,0.0,0.0,0.0,35733
253,2021,2.4343529411764706,413.84,170.0,2021-08-19,0.0,0.0,0.0,6602
253,2022,2.355384615384615,183.72,78.0,2022-08-04,0.0,0.0,0.0,8815
253,2023,2.599529411764706,441.92,170.0,2023-10-18,13.0,0.0,0.0,12988
253,2024,3.8960000000000004,662.32,170.0,2024-08-23,0.0,0.0,0.0,30477
253,2025,2.353764705882353,400.14,170.0,2025-08-21,0.0,0.0,0.0,35734
254,2021,2.1813513513513514,322.84,148.0,2021-09-02,0.0,0.0,0.0,6603
254,2022,2.314054054054054,342.48,148.0,2022-07-27,0.0,0.0,0.0,8812
254,2023,0.5264189189189189,77.91,148.0,2023-09-07,22.0,0.0,0.0,12588
254,2024,3.4018783783783784,503.478,148.0,2024-09-21,0.0,0.0,0.0,31077
254,2025,4.105608108108108,607.63,148.0,2025-09-16,0.0,0.0,0.0,35721
255,2021,3.495357142857143,391.48,112.0,2021-09-09,0.0,0.0,0.0,7304
255,2023,2.5888660714285714,289.953,112.0,2023-10-19,16.0,0.0,0.0,12989
255,2024,4.0148214285714285,449.66,112.0,2024-09-14,0.0,0.0,0.0,30478
255,2025,4.227857142857142,473.52,112.0,2025-08-11,0.0,0.0,0.0,35585
256,2021,3.488928571428571,195.38,56.0,2021-09-09,0.0,0.0,0.0,7305
256,2023,1.0053571428571428,56.3,56.0,2023-08-08,18.0,0.0,0.0,12589
256,2024,5.977232142857143,334.725,56.0,2024-09-14,0.0,0.0,0.0,30479
256,2025,3.738928571428571,209.38,56.0,2025-10-19,0.0,0.0,0.0,35753
257,2021,5.5088888888888885,49.58,9.0,2021-09-08,0.0,0.0,0.0,7306
257,2022,1.7641666666666669,21.17,12.0,2022-09-29,0.0,0.0,0.0,11331
257,2023,2.75025,33.003,12.0,2023-08-21,15.3,0.0,0.0,12839
257,2024,1.4186666666666667,17.024,12.0,2024-08-24,0.0,0.0,0.0,30112
257,2025,1.53,18.36,12.0,2025-09-22,0.0,0.0,0.0,35586
258,2021,3.369101123595506,599.7,178.0,2021-09-17,0.0,0.0,0.0,7307
258,2022,2.0300786516853933,361.354,178.0,2022-09-24,0.0,0.0,0.0,8754
258,2023,1.3868539325842697,246.86,178.0,2023-09-09,13.0,0.0,0.0,12840
258,2024,5.062359550561798,901.1,178.0,2024-09-05,0.0,0.0,0.0,30480
258,2025,3.607977528089888,642.22,178.0,2025-10-19,0.0,0.0,0.0,35754
259,2021,3.2456022408963587,1158.68,357.0,2021-09-15,0.0,0.0,0.0,7308
259,2022,2.027221288515406,723.718,357.0,2022-09-26,0.0,0.0,0.0,8755
259,2023,1.08003081232493,385.571,357.0,2023-09-12,16.5,0.0,0.0,12841
259,2024,2.8320560224089637,1011.044,357.0,2024-09-25,0.0,0.0,0.0,31078
259,2025,2.1594957983193277,770.94,357.0,2025-10-09,0.0,0.0,0.0,35722
260,2021,4.1022,410.22,100.0,2021-09-11,0.0,0.0,0.0,7309
260,2022,3.7374,373.74,100.0,2022-08-21,0.0,0.0,0.0,8739
260,2023,1.8446,184.46,100.0,2023-10-10,10.0,0.0,0.0,12990
260,2024,3.2132,321.32,100.0,2024-09-11,0.0,0.0,0.0,30481
260,2025,4.0914,204.57,50.0,2025-08-07,0.0,0.0,0.0,35587
261,2021,5.387428571428572,377.12,70.0,2021-09-10,0.0,0.0,0.0,7310
261,2022,4.008571428571429,280.6,70.0,2022-08-26,0.0,0.0,0.0,8740
261,2023,2.853857142857143,199.77,70.0,2023-10-10,11.0,0.0,0.0,12991
261,2024,4.122771428571428,288.594,70.0,2024-08-27,0.0,0.0,0.0,30482
261,2025,4.780285714285714,334.62,70.0,2025-08-08,0.0,0.0,0.0,35588
262,2021,4.116052631578947,312.82,76.0,2021-09-15,0.0,0.0,0.0,7311
262,2022,2.0516842105263158,155.928,76.0,2022-09-25,0.0,0.0,0.0,8756
262,2023,1.9040657894736843,144.709,76.0,2023-09-10,15.2,0.0,0.0,12842
262,2024,4.339473684210526,329.8,76.0,2024-09-05,0.0,0.0,0.0,30483
263,2021,3.779,15.116,4.0,2021-09-09,0.0,0.0,0.0,7312
263,2022,2.1305,8.522,4.0,2022-09-29,0.0,0.0,0.0,8757
263,2023,1.15425,4.617,4.0,2023-08-21,0.0,0.0,0.0,12843
263,2024,2.317,9.268,4.0,2024-08-24,0.0,0.0,0.0,30113
263,2025,1.53,6.12,4.0,2025-09-22,0.0,0.0,0.0,35589
264,2021,3.725,14.9,4.0,2021-09-09,0.0,0.0,0.0,7313
264,2022,4.337,17.348,4.0,2022-09-29,0.0,0.0,0.0,8758
264,2023,3.37975,13.519,4.0,2023-08-21,0.0,0.0,0.0,12844
264,2024,0.25,1.0,4.0,2024-08-24,0.0,0.0,0.0,30114
264,2025,1.53,6.12,4.0,2025-09-22,0.0,0.0,0.0,35590
265,2021,3.063,6.126,2.0,2021-09-06,0.0,0.0,0.0,7314
265,2023,1.308,2.616,2.0,2023-10-02,21.7,0.0,0.0,12845
265,2024,0.5,1.0,2.0,2024-09-15,0.0,0.0,0.0,30115
265,2025,1.53,3.06,2.0,2025-09-23,0.0,0.0,0.0,35591
266,2021,3.4250000000000003,41.1,12.0,2021-09-09,0.0,0.0,0.0,7315
266,2023,1.1466666666666667,13.76,12.0,2023-08-20,0.0,0.0,0.0,12846
266,2024,0.7010000000000001,8.412,12.0,2024-08-27,0.0,0.0,0.0,30116
266,2025,1.53,18.36,12.0,2025-09-22,0.0,0.0,0.0,35592
267,2021,3.725,14.9,4.0,2021-09-07,0.0,0.0,0.0,7316
267,2024,0.175,0.7,4.0,2024-09-15,0.0,0.0,0.0,30117
267,2025,1.53,6.12,4.0,2025-09-22,0.0,0.0,0.0,35593
268,2021,3.504,35.04,10.0,2021-09-01,0.0,0.0,0.0,6996
268,2023,2.2885,22.885,10.0,2023-09-28,19.3,0.0,0.0,12848
268,2024,4.772,47.72,10.0,2024-08-18,0.0,0.0,0.0,30136
268,2025,1.8559999999999999,18.56,10.0,2025-10-10,0.0,0.0,0.0,35755
269,2021,3.465045045045045,384.62,111.0,2021-09-16,0.0,0.0,0.0,7318
269,2022,2.086126126126126,231.56,111.0,2022-09-23,0.0,0.0,0.0,8763
269,2023,1.7825225225225227,197.86,111.0,2023-09-09,20.0,0.0,0.0,12849
269,2024,4.250810810810811,471.84,111.0,2024-08-28,0.0,0.0,0.0,30484
269,2025,3.00081981981982,333.091,111.0,2025-10-19,0.0,0.0,0.0,35756
270,2021,4.891379310344828,283.7,58.0,2021-09-10,0.0,0.0,0.0,7319
270,2022,3.61751724137931,209.816,58.0,2022-08-26,0.0,0.0,0.0,8741
270,2023,2.901551724137931,168.29,58.0,2023-10-10,10.2,0.0,0.0,12992
270,2024,4.382758620689655,254.2,58.0,2024-09-10,0.0,0.0,0.0,30485
270,2025,5.528620689655173,320.66,58.0,2025-08-07,0.0,0.0,0.0,35594
271,2021,4.884745762711864,288.2,59.0,2021-09-10,0.0,0.0,0.0,7320
271,2022,2.6278644067796613,155.044,59.0,2022-08-26,0.0,0.0,0.0,8742
271,2023,2.458762711864407,145.067,59.0,2023-10-19,17.0,0.0,0.0,12993
271,2024,3.931627118644068,231.966,59.0,2024-09-10,0.0,0.0,0.0,30486
271,2025,4.394915254237288,259.3,59.0,2025-08-07,0.0,0.0,0.0,35595
272,2021,1.6323529411764706,55.5,34.0,2021-10-21,0.0,0.0,0.0,7656
272,2022,3.301764705882353,112.26,34.0,2022-09-05,0.0,0.0,0.0,10986
272,2023,1.4075,33.78,24.0,2023-10-10,0.0,0.0,0.0,16419
272,2024,4.2312,105.78,25.0,2024-09-06,0.0,0.0,0.0,30325
272,2025,3.1792000000000002,79.48,25.0,2025-09-07,0.0,0.0,0.0,35769
273,2021,3.0677777777777777,165.66,54.0,2021-08-22,0.0,0.0,0.0,7040
273,2022,2.052962962962963,110.86,54.0,2022-08-10,0.0,0.0,0.0,8717
273,2023,1.0088888888888887,54.48,54.0,2023-08-09,0.0,0.0,0.0,12590
