scenario,asof_tag,asof_label,version,model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2
wheat_combined,07_01,1 Jul,v15_rates,v15_rates_shallow_l10,57,57,27.618668408113322,1.1696034750689739,0.8848698518383845,0.01531375013850711,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v15_rates,v15_rates_shallow_l30,57,57,28.81652078555561,1.200208470413116,0.9181105955735529,-0.03689301398104328,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v15_rates,v15_rates_no_field_id,57,57,33.89718269357056,1.292942072901801,1.0143102549225846,-0.20331327858710901,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,08_01,1 Aug,v12,v12_default,57,57,32.37996515312449,1.3297614879748374,1.0258031687077622,-0.27282317868034145,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v12,v12_shallow_l10,57,57,29.795011604828307,1.269559688719483,0.9611917527329047,-0.16018386651166794,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v12,v12_shallow_l30,57,57,28.08760219541214,1.2406725722366094,0.9164052713356006,-0.10798769218504867,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v12,v12_no_field_id,57,57,28.990808387524936,1.261482653664144,0.9539964124324631,-0.14546847057144308,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v14,v14_shallow_l10,57,57,29.246094336902072,1.2789678769890487,0.9584631675380817,-0.1774428776314385,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v14,v14_shallow_l30,57,57,28.116168378357266,1.2946328247394312,0.9441166862291965,-0.20646242875830723,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v14,v14_no_field_id,57,57,30.327776080547604,1.283671944145526,0.9735537149357084,-0.186120118582211,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v15_rates,v15_rates_shallow_l10,57,57,28.95885052336615,1.2445087845079141,0.9431999967568147,-0.11485017532940223,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v15_rates,v15_rates_shallow_l30,57,57,29.276227085833824,1.315324452763843,0.9754401498320787,-0.2453354803212635,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v15_rates,v15_rates_no_field_id,57,57,27.93046421024052,1.244392700763184,0.9247420520113565,-0.11464220580917983,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,09_01,1 Sep,v12,v12_default,57,57,33.304763867871536,1.3236942004423793,1.0514652859132243,-0.26123468495511615,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v12,v12_shallow_l10,57,57,29.719235948416937,1.2643731897714177,0.971275521427988,-0.1507238918243059,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v12,v12_shallow_l30,57,57,33.66958496280233,1.2961901913757954,1.0297384493993034,-0.2093667803304038,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v12,v12_no_field_id,57,57,31.558547735466576,1.3137145066661406,1.0242101129738075,-0.2422887856624707,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v14,v14_shallow_l10,57,57,32.92509159128451,1.2927602118257813,1.0206567323049596,-0.20297479403803975,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v14,v14_shallow_l30,57,57,35.34669095223518,1.3362240123999276,1.0728770905520237,-0.28522485962420374,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v14,v14_no_field_id,57,57,33.93201115791672,1.2994155635930436,1.0316106134066232,-0.21539291929817184,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v15_rates,v15_rates_shallow_l10,57,57,32.35933147540192,1.2726397166151358,1.003417225294277,-0.16582004627447455,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v15_rates,v15_rates_shallow_l30,57,57,32.82528591640477,1.3239330178911124,1.038885848215925,-0.26168982334117197,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v15_rates,v15_rates_no_field_id,57,57,32.53901242917795,1.298560994750522,1.0218952548236213,-0.21379482332905608,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
all_crops,07_01,1 Jul,v12,v12_default,130,130,30.929433211405495,1.064351295733102,0.8496696168079616,-0.16970094223686738,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v12,v12_shallow_l10,130,130,30.099594750698255,1.0382973945544278,0.8320545412104307,-0.11313639282896526,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v12,v12_shallow_l30,130,130,29.33553549907959,1.012391137602121,0.8022252834177787,-0.05828227628544336,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v12,v12_no_field_id,130,130,30.2487004754371,1.042815585877939,0.8315710975241836,-0.12284518330220084,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v14,v14_shallow_l10,130,130,30.551255924338733,1.031055968718513,0.8212203223629501,-0.09766378215913885,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v14,v14_shallow_l30,130,130,29.194963688016422,0.9849269983745053,0.7851206522064548,-0.0016429484315960696,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v14,v14_no_field_id,130,130,30.80458424281473,1.0295973010989128,0.8195848261604414,-0.09456017947906581,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v15_rates,v15_rates_shallow_l10,130,130,30.545247527712892,1.0202402620571174,0.8123558003368714,-0.07475573147160652,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v15_rates,v15_rates_shallow_l30,130,130,28.989879544116153,0.972981187722606,0.771814179316576,0.022506810627842544,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
