scenario,asof_tag,asof_label,variant,config,n,r2,rmse,mae,mape
wheat_combined,09_01,1 Sep,counts,l30,57,-0.2788739168280452,1.3329184460887875,1.059713607372814,34.11136545116027
wheat_combined,09_01,1 Sep,counts,nofield,57,-0.19255335285821018,1.2871484027715787,1.0171473446092658,33.230980582421175
wheat_combined,09_01,1 Sep,rates,l30,57,-0.3016702774240396,1.3447458334163838,1.0708643173962231,34.50204590216214
wheat_combined,09_01,1 Sep,rates,nofield,57,-0.23373684636317615,1.309184880043874,1.046596382434265,34.3471064032653
wheat_combined,09_01,1 Sep,nutrients,l30,57,-0.2611918623523395,1.3236717286087172,1.04858968492347,33.51363900436198
wheat_combined,09_01,1 Sep,nutrients,nofield,57,-0.2624462958178073,1.3243298542589006,1.0497897507863487,34.306267323523855
wheat_combined,09_01,1 Sep,counts_rates,l30,57,-0.2861265410040901,1.3366926607666354,1.0631211124877498,33.7994881855163
wheat_combined,09_01,1 Sep,counts_rates,nofield,57,-0.28539481634333486,1.3363123598747277,1.0516731975525218,32.30397929337842
wheat_combined,09_01,1 Sep,counts_rates_nutrients,l30,57,-0.31117219233069826,1.3496450874277282,1.083738240676155,35.63864764330999
wheat_combined,09_01,1 Sep,counts_rates_nutrients,nofield,57,-0.16367843622205203,1.2714702604653292,1.0034206272060633,33.13281294984311
all_crops,07_01,1 Jul,v12_no_mgmt,l30,130,-0.05828227628544336,1.012391137602121,0.8022252834177787,29.33553549907959
all_crops,07_01,1 Jul,v12_no_mgmt,nofield,130,-0.12284518330220084,1.042815585877939,0.8315710975241836,30.2487004754371
all_crops,07_01,1 Jul,v13_full,l30,130,-0.05539258650897683,1.0110080018507277,0.8045315731638294,30.421684321747218
all_crops,07_01,1 Jul,v13_full,nofield,130,-0.13113837259354977,1.0466595516949944,0.8224973934716664,31.344932064053722
all_crops,07_01,1 Jul,counts,l30,130,-0.0575817480496712,1.0120560067976285,0.8072725632271799,29.862720619452915
all_crops,07_01,1 Jul,counts,nofield,130,-0.07058467242407196,1.0182585935268567,0.8091171192524802,29.70582280239933
