scenario,asof_tag,asof_label,variant,model,model_type,n,r2,rmse,mae,mape
wheat_combined,07_01,1 Jul,strict,catboost_fast_l10_residual,ml,7144,0.6556452048775425,0.5628011375351508,0.44631696706432433,16.363085696657933
wheat_combined,07_01,1 Jul,strict,catboost_shallow_l30,ml,7144,0.6526040359867834,0.5652808633750822,0.44772802049231164,16.50480932801338
wheat_combined,07_01,1 Jul,strict,catboost_shallow_l30_residual,ml,7144,0.6545491500214003,0.5636961023402969,0.44681666318325625,16.43233439832374
wheat_combined,07_01,1 Jul,strict,catboost_mae_l20,ml,7144,0.6431840665503585,0.5728936635501098,0.45250522573034524,16.5441365300606
wheat_combined,07_01,1 Jul,strict,catboost_mae_l20_residual,ml,7144,0.6456851132838927,0.570882327540366,0.4513504378535377,16.441200658151555
wheat_combined,08_01,1 Aug,strict,global_mean,naive,7144,-0.03366617249925041,0.9750840467789831,0.7969742292538612,31.490155979403095
wheat_combined,08_01,1 Aug,strict,crop_mean,naive,7144,0.047129243447252,0.9362005641129914,0.7665726292272597,29.338181904077924
wheat_combined,08_01,1 Aug,strict,crop_year_trend,naive,7144,0.02829029660982063,0.9454099503522506,0.7740621911661972,29.632933220821716
wheat_combined,08_01,1 Aug,strict,catboost_fast_l10,ml,7144,0.6922722444924541,0.5320289119467411,0.4213948663179777,15.45064852789097
wheat_combined,08_01,1 Aug,strict,catboost_fast_l10_residual,ml,7144,0.694997997821003,0.5296674005798252,0.42027924333727035,15.408128131373255
wheat_combined,08_01,1 Aug,strict,catboost_shallow_l30,ml,7144,0.6930343871704105,0.5313696712609239,0.4219304150660375,15.513507192050957
wheat_combined,08_01,1 Aug,strict,catboost_shallow_l30_residual,ml,7144,0.6945353177713053,0.5300689941235066,0.42069098354656836,15.390134388265789
wheat_combined,08_01,1 Aug,strict,catboost_mae_l20,ml,7144,0.6893339998109813,0.5345628356715483,0.4231108020941755,15.415011425435818
wheat_combined,08_01,1 Aug,strict,catboost_mae_l20_residual,ml,7144,0.688006278294258,0.5357039226641749,0.4248340235758341,15.421834716074617
wheat_combined,09_01,1 Sep,strict,global_mean,naive,7144,-0.03366617249925041,0.9750840467789831,0.7969742292538612,31.490155979403095
wheat_combined,09_01,1 Sep,strict,crop_mean,naive,7144,0.047129243447252,0.9362005641129914,0.7665726292272597,29.338181904077924
wheat_combined,09_01,1 Sep,strict,crop_year_trend,naive,7144,0.02829029660982063,0.9454099503522506,0.7740621911661972,29.632933220821716
wheat_combined,09_01,1 Sep,strict,catboost_fast_l10,ml,7144,0.7095388686747203,0.5168873592529528,0.41101480443989374,15.053019380530467
wheat_combined,09_01,1 Sep,strict,catboost_fast_l10_residual,ml,7144,0.7121435425087045,0.514564578871808,0.40972757923285674,15.090942295193901
wheat_combined,09_01,1 Sep,strict,catboost_shallow_l30,ml,7144,0.7100111568772185,0.5164669602897514,0.4107163483443354,15.15146333505822
wheat_combined,09_01,1 Sep,strict,catboost_shallow_l30_residual,ml,7144,0.7109024939810071,0.5156726186089068,0.4103772626044876,15.10870224806653
wheat_combined,09_01,1 Sep,strict,catboost_mae_l20,ml,7144,0.7064769018732009,0.5196046637770159,0.4125705406693991,15.029594790804587
wheat_combined,09_01,1 Sep,strict,catboost_mae_l20_residual,ml,7144,0.7007033386403366,0.5246900581931566,0.4171860098355133,15.117486189683888
all_crops,07_01,1 Jul,strict,global_mean,naive,26029,-0.002661312961190987,1.3077684251787944,0.6947053469206713,30.687518166430554
all_crops,07_01,1 Jul,strict,crop_mean,naive,26029,0.5900710362228536,0.8361958748627834,0.5727335330074267,25.167193554968463
all_crops,07_01,1 Jul,strict,crop_year_trend,naive,26029,0.5798095997783888,0.846597109739842,0.5767305619262243,25.439915042104346
all_crops,07_01,1 Jul,strict,catboost_fast_l10,ml,26029,0.5522681064619879,0.8739020020655064,0.429912252138238,18.467656411458137
all_crops,07_01,1 Jul,strict,catboost_fast_l10_residual,ml,26029,0.7519329883497361,0.6504864072458463,0.4039977860012746,17.415295175148437
all_crops,07_01,1 Jul,strict,catboost_shallow_l30,ml,26029,0.5163474300873934,0.9082814994807159,0.44177055772345186,19.08685327650323
all_crops,07_01,1 Jul,strict,catboost_shallow_l30_residual,ml,26029,0.7481754253856521,0.6553944703843749,0.4088635953671999,17.651630951228846
all_crops,07_01,1 Jul,strict,catboost_mae_l20,ml,26029,0.36663974272550537,1.0393914082224374,0.42571958297469153,17.380444211663683
all_crops,07_01,1 Jul,strict,catboost_mae_l20_residual,ml,26029,0.748918713980459,0.654426520305137,0.4057425645468629,17.3221701112373
all_crops,08_01,1 Aug,strict,global_mean,naive,26029,-0.002661312961190987,1.3077684251787944,0.6947053469206713,30.687518166430554
all_crops,08_01,1 Aug,strict,crop_mean,naive,26029,0.5900710362228536,0.8361958748627834,0.5727335330074267,25.167193554968463
all_crops,08_01,1 Aug,strict,crop_year_trend,naive,26029,0.5798095997783888,0.846597109739842,0.5767305619262243,25.439915042104346
all_crops,08_01,1 Aug,strict,catboost_fast_l10,ml,26029,0.5648598272910081,0.8615258407280953,0.39020296794669,16.497660662317628
all_crops,08_01,1 Aug,strict,catboost_fast_l10_residual,ml,26029,0.7809700853998311,0.6112310885483115,0.36121959719786045,15.385214548391987
all_crops,08_01,1 Aug,strict,catboost_shallow_l30,ml,26029,0.5478152570623966,0.8782368804365719,0.4026601900515262,17.217814268203405
all_crops,08_01,1 Aug,strict,catboost_shallow_l30_residual,ml,26029,0.7774459634413127,0.6161287241269721,0.36613304387887197,15.620502195725974
all_crops,08_01,1 Aug,strict,catboost_mae_l20,ml,26029,0.39911208461694114,1.012396076329051,0.3805659727933361,15.2217374884567
all_crops,08_01,1 Aug,strict,catboost_mae_l20_residual,ml,26029,0.7765011577457529,0.6174351605908126,0.36350421520912624,15.31180749724618
all_crops,09_01,1 Sep,strict,global_mean,naive,26029,-0.002661312961190987,1.3077684251787944,0.6947053469206713,30.687518166430554
