scenario,asof_tag,asof_label,model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2
sunflower,09_01,1 Sep,v12_default,25,25,25.205728857550387,0.6537131193760051,0.5659644210543522,-0.256430624960559,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v12_shallow_l10,25,25,26.26200792469912,0.6872999540207446,0.5881039927588717,-0.38885447178252397,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v12_shallow_l30,25,25,25.348304132418203,0.6621947560892665,0.5766142660982131,-0.2892453874055918,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v12_mae_l30,25,25,25.612020462646733,0.6734818677590095,0.5839430627294271,-0.33357033786255585,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v12_no_field_id,25,25,25.552422288054018,0.6684387801099312,0.5639048896503117,-0.31367334411833414,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
wheat_combined,07_01,1 Jul,v12_default,57,57,31.273104473542006,1.2246298863019744,0.9510098150858085,-0.07951897724443246,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v12_shallow_l10,57,57,29.416033544955315,1.158972301693959,0.8974087528459461,0.033133112099454465,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v12_shallow_l30,57,57,27.443468157904565,1.1679795291035204,0.8873740084280105,0.0180462439631226,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v12_mae_l30,57,57,31.21871842029694,1.276688114907815,0.9698889588453697,-0.17324903148653514,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,07_01,1 Jul,v12_no_field_id,57,57,28.175369532634363,1.1546137027199561,0.8865844895145496,0.04039171661035257,30.857512910607614,0.8206611994248829,0.6622493280701756,0.5152158917168532
wheat_combined,08_01,1 Aug,v12_default,57,57,32.37996515312449,1.3297614879748374,1.0258031687077622,-0.27282317868034145,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v12_shallow_l10,57,57,29.795011604828307,1.269559688719483,0.9611917527329047,-0.16018386651166794,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v12_shallow_l30,57,57,28.08760219541214,1.2406725722366094,0.9164052713356006,-0.10798769218504867,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v12_mae_l30,57,57,29.95807107246812,1.3281821688190345,0.9916100412154053,-0.2698015837227017,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,08_01,1 Aug,v12_no_field_id,57,57,28.990808387524936,1.261482653664144,0.9539964124324631,-0.14546847057144308,27.35189072761195,0.7259377270910493,0.5937253175438597,0.6206681507563154
wheat_combined,09_01,1 Sep,v12_default,57,57,33.304763867871536,1.3236942004423793,1.0514652859132243,-0.26123468495511615,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v12_shallow_l10,57,57,29.719235948416937,1.2643731897714177,0.971275521427988,-0.1507238918243059,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v12_shallow_l30,57,57,33.66958496280233,1.2961901913757954,1.0297384493993034,-0.2093667803304038,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v12_mae_l30,57,57,31.804538304253004,1.2458702795935503,0.9756435923646289,-0.11729080624567478,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
wheat_combined,09_01,1 Sep,v12_no_field_id,57,57,31.558547735466576,1.3137145066661406,1.0242101129738075,-0.2422887856624707,29.219071850124838,0.7656737135261965,0.6347618719298246,0.5780042777452183
all_crops,07_01,1 Jul,v12_default,130,130,30.929433211405495,1.064351295733102,0.8496696168079616,-0.16970094223686738,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v12_shallow_l10,130,130,30.099594750698255,1.0382973945544278,0.8320545412104307,-0.11313639282896526,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v12_shallow_l30,130,130,29.33553549907959,1.012391137602121,0.8022252834177787,-0.05828227628544336,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v12_mae_l30,130,130,30.11250880483869,1.0364379375874504,0.8190543463678631,-0.1091529949453689,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,07_01,1 Jul,v12_no_field_id,130,130,30.2487004754371,1.042815585877939,0.8315710975241836,-0.12284518330220084,29.754716163108814,0.8342323487091365,0.6735404046153844,0.28141374479229764
all_crops,08_01,1 Aug,v12_default,130,130,28.30523125288511,1.0358220303273467,0.813071491946823,-0.10783514969972186,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v12_shallow_l10,130,130,28.105410344507987,1.0337168466398616,0.7899869642421554,-0.10333664230571626,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v12_shallow_l30,130,130,28.327269628501323,1.0021826701470429,0.7897613733298696,-0.037047456228809006,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v12_mae_l30,130,130,30.19817382457744,1.0932949935864986,0.865753139666342,-0.2341830343964606,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,08_01,1 Aug,v12_no_field_id,130,130,27.49522070907766,1.0074728487695244,0.7832846298392164,-0.04802478849062641,28.910923210584556,0.7854906929510765,0.6265631984615383,0.36293031374188134
all_crops,09_01,1 Sep,v12_default,130,130,32.494400013687034,1.1383095756354809,0.9137941143009753,-0.33790609362875723,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v12_shallow_l10,130,130,28.244251628639063,1.0428691912166546,0.8114410824302339,-0.12296062469801461,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v12_shallow_l30,130,130,29.110680421894997,1.0553962525912852,0.8389379807105035,-0.15010091488437682,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v12_mae_l30,130,130,29.405559194930643,1.0487885446191725,0.8241096834547005,-0.13574471247341302,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
all_crops,09_01,1 Sep,v12_no_field_id,130,130,26.860582550296808,0.9997814264303329,0.7711072089313886,-0.032083849331926206,27.218223801432647,0.7575947120884983,0.5949642846153845,0.4073766997153354
