scenario,asof_tag,asof_label,model,n_ml,n_cw,mape,rmse,r2,cw_mape,cw_rmse,cw_r2
all_crops,07_01,1 Jul,v9_shallow_l10,155,154,39.95202169244256,1.2869491139549425,-0.36760154326894634,33.478074104550956,1.0993350403738946,-0.0045084626665563565
all_crops,07_01,1 Jul,v9_shallow_l30,155,154,38.88271306850559,1.2973734093042641,-0.38984643273263475,33.478074104550956,1.0993350403738946,-0.0045084626665563565
all_crops,07_01,1 Jul,v9_mae_l30,155,154,34.6132515808396,1.2572979219638225,-0.3053086839633967,33.478074104550956,1.0993350403738946,-0.0045084626665563565
all_crops,07_01,1 Jul,v9_no_field_id,155,154,39.25281167972215,1.2909782195306125,-0.3761781629158325,33.478074104550956,1.0993350403738946,-0.0045084626665563565
all_crops,08_01,1 Aug,v7_default,155,154,35.131071039077455,1.1734144111428673,-0.1369455523223122,34.14514329063533,1.1363894151933849,-0.07336595867741891
all_crops,08_01,1 Aug,v9_default,155,154,38.20555913992664,1.2272851201841706,-0.24373475186328486,34.14514329063533,1.1363894151933849,-0.07336595867741891
all_crops,08_01,1 Aug,v9_shallow_l10,155,154,39.46051213712827,1.2487256220747627,-0.2875700842167881,34.14514329063533,1.1363894151933849,-0.07336595867741891
all_crops,08_01,1 Aug,v9_shallow_l30,155,154,36.14314294696516,1.208463335023715,-0.20587915661877787,34.14514329063533,1.1363894151933849,-0.07336595867741891
all_crops,08_01,1 Aug,v9_mae_l30,155,154,32.55002142539569,1.1770497176637609,-0.14400111241157076,34.14514329063533,1.1363894151933849,-0.07336595867741891
all_crops,08_01,1 Aug,v9_no_field_id,155,154,38.44281712594212,1.2317319437876137,-0.25276393114638296,34.14514329063533,1.1363894151933849,-0.07336595867741891
all_crops,09_01,1 Sep,v7_default,155,154,35.774770790085945,1.2093495225887492,-0.20764839016864856,33.32522832630724,1.1296099730636677,-0.06059724336579553
all_crops,09_01,1 Sep,v9_default,155,154,39.18655057016711,1.2417515435480755,-0.2732281994383836,33.32522832630724,1.1296099730636677,-0.06059724336579553
all_crops,09_01,1 Sep,v9_shallow_l10,155,154,39.671594844200506,1.2681987916101238,-0.32804105760942504,33.32522832630724,1.1296099730636677,-0.06059724336579553
all_crops,09_01,1 Sep,v9_shallow_l30,155,154,35.89677565599524,1.22476656672495,-0.23863536893226334,33.32522832630724,1.1296099730636677,-0.06059724336579553
all_crops,09_01,1 Sep,v9_mae_l30,155,154,35.79366760683807,1.2575065159857512,-0.30574183854033476,33.32522832630724,1.1296099730636677,-0.06059724336579553
all_crops,09_01,1 Sep,v9_no_field_id,155,154,39.45205711371128,1.2640362098088989,-0.31933736347959174,33.32522832630724,1.1296099730636677,-0.06059724336579553
