model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2,scenario,asof_tag,asof_label
v10_no_field_id,67,67,40.04417428218669,1.12933502215274,0.8979283132772838,0.0027101711989701016,32.73780288443596,0.848990918715285,0.6760748469455898,0.4363858516722381,wheat_combined,08_01,1 Aug
v7_default,67,67,40.10320762139791,1.1027651009837525,0.8878152770275922,0.04908472396258734,33.787085193917285,0.8617000096174864,0.702932809168986,0.41938534616056156,wheat_combined,09_01,1 Sep
v9_shallow_l10,67,67,41.360612191434164,1.1367730396996867,0.90069107180164,-0.010469774208705873,33.787085193917285,0.8617000096174864,0.702932809168986,0.41938534616056156,wheat_combined,09_01,1 Sep
v9_mae_l30,67,67,38.99333880785274,1.061400431259629,0.8533850207640632,0.11908436839190273,33.787085193917285,0.8617000096174864,0.702932809168986,0.41938534616056156,wheat_combined,09_01,1 Sep
v9_no_field_id,67,67,42.40244056532769,1.1625090863066696,0.9249956626334329,-0.056740881724041126,33.787085193917285,0.8617000096174864,0.702932809168986,0.41938534616056156,wheat_combined,09_01,1 Sep
v10_default,67,67,42.22360792487321,1.1567602806481543,0.9257963714316051,-0.04631519631405889,33.787085193917285,0.8617000096174864,0.702932809168986,0.41938534616056156,wheat_combined,09_01,1 Sep
v10_shallow_l10,67,67,42.081608994203755,1.167384304126195,0.9236643711368074,-0.0656227815483772,33.787085193917285,0.8617000096174864,0.702932809168986,0.41938534616056156,wheat_combined,09_01,1 Sep
v10_shallow_l30,67,67,43.86744645821838,1.202480973209227,0.940419226130525,-0.13066050869417434,33.787085193917285,0.8617000096174864,0.702932809168986,0.41938534616056156,wheat_combined,09_01,1 Sep
v10_mae_l30,67,67,39.648231506584544,1.123959261762929,0.9058308230106514,0.0121819950964559,33.787085193917285,0.8617000096174864,0.702932809168986,0.41938534616056156,wheat_combined,09_01,1 Sep
v10_no_field_id,67,67,41.15951096511673,1.1432768266979516,0.9098824152775981,-0.022065193354466217,33.787085193917285,0.8617000096174864,0.702932809168986,0.41938534616056156,wheat_combined,09_01,1 Sep
v7_default,155,154,35.35161769754554,1.2112118358903634,0.9099882954950337,-0.21137064132065952,33.478074104550956,1.0993350403738946,0.8146773690200305,-0.0045084626665563565,all_crops,07_01,1 Jul
v9_shallow_l10,155,154,39.95202169244256,1.2869491139549425,0.984966797025594,-0.36760154326894634,33.478074104550956,1.0993350403738946,0.8146773690200305,-0.0045084626665563565,all_crops,07_01,1 Jul
v9_mae_l30,155,154,34.6132515808396,1.2572979219638225,0.9431778260426229,-0.3053086839633967,33.478074104550956,1.0993350403738946,0.8146773690200305,-0.0045084626665563565,all_crops,07_01,1 Jul
v9_no_field_id,155,154,39.25281167972215,1.2909782195306125,0.9859849646740096,-0.3761781629158325,33.478074104550956,1.0993350403738946,0.8146773690200305,-0.0045084626665563565,all_crops,07_01,1 Jul
v10_default,155,154,36.636889605164995,1.2271797058140275,0.9209848984943496,-0.2435211065044809,33.478074104550956,1.0993350403738946,0.8146773690200305,-0.0045084626665563565,all_crops,07_01,1 Jul
v10_shallow_l10,155,154,38.707766586036946,1.2842643126887414,0.979809690834336,-0.36190138252352155,33.478074104550956,1.0993350403738946,0.8146773690200305,-0.0045084626665563565,all_crops,07_01,1 Jul
v10_shallow_l30,155,154,38.166352309656276,1.2689857497111456,0.9675708155240365,-0.32968975328503713,33.478074104550956,1.0993350403738946,0.8146773690200305,-0.0045084626665563565,all_crops,07_01,1 Jul
v10_mae_l30,155,154,36.73082494310707,1.2703265247854407,0.9540423649718066,-0.3325010641519739,33.478074104550956,1.0993350403738946,0.8146773690200305,-0.0045084626665563565,all_crops,07_01,1 Jul
v10_no_field_id,155,154,38.642090919914764,1.2556124344164994,0.9601173949124034,-0.3018113317138431,33.478074104550956,1.0993350403738946,0.8146773690200305,-0.0045084626665563565,all_crops,07_01,1 Jul
v7_default,155,154,35.131071039077455,1.1734144111428673,0.8858269433343409,-0.1369455523223122,34.14514329063533,1.1363894151933849,0.8219723864834868,-0.07336595867741891,all_crops,08_01,1 Aug
v9_shallow_l10,155,154,39.46051213712827,1.2487256220747627,0.973734796731551,-0.2875700842167881,34.14514329063533,1.1363894151933849,0.8219723864834868,-0.07336595867741891,all_crops,08_01,1 Aug
v9_mae_l30,155,154,32.55002142539569,1.1770497176637609,0.8733282206972182,-0.14400111241157076,34.14514329063533,1.1363894151933849,0.8219723864834868,-0.07336595867741891,all_crops,08_01,1 Aug
v9_no_field_id,155,154,38.44281712594212,1.2317319437876137,0.9511774510088069,-0.25276393114638296,34.14514329063533,1.1363894151933849,0.8219723864834868,-0.07336595867741891,all_crops,08_01,1 Aug
v10_default,155,154,38.34049650476484,1.2382898132524178,0.9513673460801695,-0.26613913402522527,34.14514329063533,1.1363894151933849,0.8219723864834868,-0.07336595867741891,all_crops,08_01,1 Aug
v10_shallow_l10,155,154,36.78303465560584,1.2251413269932117,0.9223289472195559,-0.2393934927308008,34.14514329063533,1.1363894151933849,0.8219723864834868,-0.07336595867741891,all_crops,08_01,1 Aug
v10_shallow_l30,155,154,35.25678502875454,1.2025865786752794,0.8894675230997101,-0.194179295186808,34.14514329063533,1.1363894151933849,0.8219723864834868,-0.07336595867741891,all_crops,08_01,1 Aug
v10_mae_l30,155,154,35.64309452067354,1.2779580588362682,0.9772892169702039,-0.348559254625606,34.14514329063533,1.1363894151933849,0.8219723864834868,-0.07336595867741891,all_crops,08_01,1 Aug
v10_no_field_id,155,154,38.05677757607715,1.2419523665370953,0.9455761454734575,-0.2736400598787967,34.14514329063533,1.1363894151933849,0.8219723864834868,-0.07336595867741891,all_crops,08_01,1 Aug
v7_default,155,154,35.774770790085945,1.2093495225887492,0.9200181313453156,-0.20764839016864856,33.32522832630724,1.1296099730636677,0.8064282111843846,-0.06059724336579553,all_crops,09_01,1 Sep
v9_shallow_l10,155,154,39.671594844200506,1.2681987916101238,0.989722592542887,-0.32804105760942504,33.32522832630724,1.1296099730636677,0.8064282111843846,-0.06059724336579553,all_crops,09_01,1 Sep
v9_mae_l30,155,154,35.79366760683807,1.2575065159857512,0.9473633355734997,-0.30574183854033476,33.32522832630724,1.1296099730636677,0.8064282111843846,-0.06059724336579553,all_crops,09_01,1 Sep
v9_no_field_id,155,154,39.45205711371128,1.2640362098088989,0.9823154771684702,-0.31933736347959174,33.32522832630724,1.1296099730636677,0.8064282111843846,-0.06059724336579553,all_crops,09_01,1 Sep
v10_default,155,154,38.48000931733077,1.2392591422243575,0.9511430666616599,-0.2681221685251649,33.32522832630724,1.1296099730636677,0.8064282111843846,-0.06059724336579553,all_crops,09_01,1 Sep
v10_shallow_l10,155,154,37.96430861638004,1.247103123112251,0.9471295966221577,-0.2842263169512689,33.32522832630724,1.1296099730636677,0.8064282111843846,-0.06059724336579553,all_crops,09_01,1 Sep
v10_shallow_l30,155,154,36.85312398847256,1.2513055915196907,0.9368134748452466,-0.29289603103276707,33.32522832630724,1.1296099730636677,0.8064282111843846,-0.06059724336579553,all_crops,09_01,1 Sep
v10_mae_l30,155,154,34.66336201557665,1.2430692662011094,0.935968836832241,-0.27593188336558994,33.32522832630724,1.1296099730636677,0.8064282111843846,-0.06059724336579553,all_crops,09_01,1 Sep
v10_no_field_id,155,154,38.971425780908106,1.2689332645390938,0.9736016007672387,-0.3295797637878999,33.32522832630724,1.1296099730636677,0.8064282111843846,-0.06059724336579553,all_crops,09_01,1 Sep
