filter,scenario,asof_tag,asof_label,method,n,mape,mae,rmse,r2,cw_mape,cw_mae,cw_rmse,cw_r2,naive_mape,naive_mae,naive_rmse,naive_r2
year_ge_2021,all_crops,07_01,1 Jul,cat_all_with_field,127,26.13960944818605,0.7010488844259469,0.8594687305425758,0.1903758863040964,30.391701662093517,0.6690309559835544,0.8288142238059836,0.2470993629268039,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,07_01,1 Jul,cat_core_d2,127,26.435376522709458,0.7189002299648348,0.8905206659138125,0.13081689085888026,30.391701662093517,0.6690309559835544,0.8288142238059836,0.2470993629268039,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,07_01,1 Jul,cat_core_d3,127,25.75716752922003,0.7003090113895334,0.8687712613171795,0.17275497199136047,30.391701662093517,0.6690309559835544,0.8288142238059836,0.2470993629268039,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,07_01,1 Jul,peer_raw,127,34.22856971245555,0.6931818263439599,0.8592221082882976,0.1908404585901301,30.391701662093517,0.6690309559835544,0.8288142238059836,0.2470993629268039,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,07_01,1 Jul,residual_crop,127,29.05513911335465,0.783441421507241,0.9733963529912202,-0.03849091791156534,30.391701662093517,0.6690309559835544,0.8288142238059836,0.2470993629268039,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,07_01,1 Jul,residual_global,127,27.84405955676223,0.7533016266671209,0.9100142568266261,0.09234737945856208,30.391701662093517,0.6690309559835544,0.8288142238059836,0.2470993629268039,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,07_01,1 Jul,ridge_all_no_field,127,34.22856971245555,0.6931818263439599,0.8592221082882976,0.1908404585901301,30.391701662093517,0.6690309559835544,0.8288142238059836,0.2470993629268039,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,07_01,1 Jul,ridge_core,127,34.22856971245555,0.6931818263439599,0.8592221082882976,0.1908404585901301,30.391701662093517,0.6690309559835544,0.8288142238059836,0.2470993629268039,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,08_01,1 Aug,cat_all_no_field,127,26.913176203290533,0.7112430556596219,0.8937956221547242,0.12441216397838328,30.15230573453153,0.6362461740101075,0.7988162525507813,0.3006138011950579,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,08_01,1 Aug,cat_all_with_field,127,26.69537031233859,0.7044013991827369,0.8802355847782145,0.15077823485005648,30.15230573453153,0.6362461740101075,0.7988162525507813,0.3006138011950579,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,08_01,1 Aug,cat_core_d2,127,27.314234647357832,0.713801957782168,0.8993031956859915,0.11358816352907386,30.15230573453153,0.6362461740101075,0.7988162525507813,0.3006138011950579,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,08_01,1 Aug,cat_core_d3,127,27.49477652465726,0.7131277209774536,0.8956190276922611,0.12083599911983478,30.15230573453153,0.6362461740101075,0.7988162525507813,0.3006138011950579,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,08_01,1 Aug,peer_raw,127,29.20691740964601,0.6500765104859537,0.8105031473977549,0.27999968800422237,30.15230573453153,0.6362461740101075,0.7988162525507813,0.3006138011950579,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,08_01,1 Aug,residual_crop,127,32.079909874259066,0.8337261994955494,1.0311088566867663,-0.16528540697072147,30.15230573453153,0.6362461740101075,0.7988162525507813,0.3006138011950579,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,08_01,1 Aug,residual_global,127,28.654923325310584,0.756470215558889,0.9172154915140963,0.07792544906180787,30.15230573453153,0.6362461740101075,0.7988162525507813,0.3006138011950579,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,08_01,1 Aug,ridge_all_no_field,127,29.20691740964601,0.6500765104859537,0.8105031473977549,0.27999968800422237,30.15230573453153,0.6362461740101075,0.7988162525507813,0.3006138011950579,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,08_01,1 Aug,ridge_core,127,29.20691740964601,0.6500765104859537,0.8105031473977549,0.27999968800422237,30.15230573453153,0.6362461740101075,0.7988162525507813,0.3006138011950579,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,09_01,1 Sep,cat_all_no_field,127,28.53176718835007,0.7486475172645662,0.9307302811872423,0.050552487508184196,28.83131990756776,0.6124650480568653,0.775214454927951,0.34133134348234495,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,09_01,1 Sep,cat_all_with_field,127,28.627357695525767,0.7521522210742297,0.9350674433409903,0.041683102819212614,28.83131990756776,0.6124650480568653,0.775214454927951,0.34133134348234495,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,09_01,1 Sep,cat_core_d2,127,28.55367418149317,0.7516798759962079,0.9349965791677902,0.04182834958567949,28.83131990756776,0.6124650480568653,0.775214454927951,0.34133134348234495,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,09_01,1 Sep,cat_core_d3,127,28.84887882816302,0.7557428864833434,0.9341789202310229,0.043503468108399335,28.83131990756776,0.6124650480568653,0.775214454927951,0.34133134348234495,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,09_01,1 Sep,peer_raw,127,29.878111325648,0.7026545606768289,0.8539320873989932,0.20077338263445133,28.83131990756776,0.6124650480568653,0.775214454927951,0.34133134348234495,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,09_01,1 Sep,residual_crop,127,31.001067497270462,0.8097651431007684,1.0037080317159217,-0.10417541237278538,28.83131990756776,0.6124650480568653,0.775214454927951,0.34133134348234495,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,09_01,1 Sep,residual_global,127,30.44854905599557,0.7911841605635931,0.9520755674746623,0.006504020753878015,28.83131990756776,0.6124650480568653,0.775214454927951,0.34133134348234495,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,09_01,1 Sep,ridge_all_no_field,127,29.878111325648,0.7026545606768289,0.8539320873989932,0.20077338263445133,28.83131990756776,0.6124650480568653,0.775214454927951,0.34133134348234495,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,all_crops,09_01,1 Sep,ridge_core,127,29.878111325648,0.7026545606768289,0.8539320873989932,0.20077338263445133,28.83131990756776,0.6124650480568653,0.775214454927951,0.34133134348234495,38.92981907305421,0.8423229271857486,1.0335306069541064,-0.17076561259224476
year_ge_2021,sunflower,07_01,1 Jul,cat_all_no_field,42,24.923638148872993,0.5636229206945255,0.6581510268729082,-0.27611661655811126,29.070570031059294,0.6548715877159006,0.784555555822876,-0.813370898105034,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,07_01,1 Jul,cat_all_with_field,42,25.261175952674915,0.568010508739056,0.6643744120604529,-0.3003642832509854,29.070570031059294,0.6548715877159006,0.784555555822876,-0.813370898105034,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,07_01,1 Jul,cat_core_d2,42,26.240513239015623,0.601963600381449,0.706476437173335,-0.4703969744354721,29.070570031059294,0.6548715877159006,0.784555555822876,-0.813370898105034,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,07_01,1 Jul,cat_core_d3,42,25.43836340477067,0.576329362055279,0.6748064915462965,-0.34152181979529717,29.070570031059294,0.6548715877159006,0.784555555822876,-0.813370898105034,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,07_01,1 Jul,peer_raw,42,23.332477876342654,0.47253389839566406,0.6087642478326205,-0.09178598445487363,29.070570031059294,0.6548715877159006,0.784555555822876,-0.813370898105034,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,07_01,1 Jul,residual_crop,42,24.708905632249728,0.5319507814087856,0.6382805674705112,-0.20022448486341782,29.070570031059294,0.6548715877159006,0.784555555822876,-0.813370898105034,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,07_01,1 Jul,residual_global,42,24.708905632249728,0.5319507814087856,0.6382805674705112,-0.20022448486341782,29.070570031059294,0.6548715877159006,0.784555555822876,-0.813370898105034,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,07_01,1 Jul,ridge_all_no_field,42,23.332477876342654,0.47253389839566406,0.6087642478326205,-0.09178598445487363,29.070570031059294,0.6548715877159006,0.784555555822876,-0.813370898105034,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,07_01,1 Jul,ridge_core,42,23.332477876342654,0.47253389839566406,0.6087642478326205,-0.09178598445487363,29.070570031059294,0.6548715877159006,0.784555555822876,-0.813370898105034,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
year_ge_2021,sunflower,08_01,1 Aug,cat_all_no_field,42,23.24219094854927,0.5736728780953458,0.6549158655547979,-0.263601870843194,24.6141210698528,0.5328061971558034,0.6561493173998617,-0.26836602406452736,24.073759800901488,0.6032333464596721,0.6923818597492412,-0.4123118371751051
