field_id,season,operation_type,agro_operation_id,mix_item_applicable_id,mix_item_applicable_name,mix_item_applicable_type,mix_item_fact_rate,mix_item_planned_rate,mix_item_rate_unit,mix_item_unit_id,actual_start_datetime,completed_date
209,2023,application,11017,65,,Seed,0.0,0.0,,19,2022-09-05T17:47:00.000+05:00,2022-09-08
209,2023,application,11017,75,,Seed,203.96039603960395,0.0,,19,2022-09-05T17:47:00.000+05:00,2022-09-08
209,2023,application,11017,40,,Seed,0.0,0.0,,19,2022-09-05T17:47:00.000+05:00,2022-09-08
209,2023,application,11017,80,,Seed,0.0,0.0,,19,2022-09-05T17:47:00.000+05:00,2022-09-08
209,2023,application,11017,78,,Seed,0.0,0.0,,19,2022-09-05T17:47:00.000+05:00,2022-09-08
209,2023,other,13857,50,,Seed,0.0,0.0,,19,2023-05-25T12:37:00.000+05:00,2023-05-26
209,2023,other,13857,93,,Seed,0.0,0.0,,19,2023-05-25T12:37:00.000+05:00,2023-05-26
209,2024,application,16960,73,,Seed,0.0,0.0,,19,2023-08-29T14:58:00.000+05:00,2023-09-01
209,2024,application,16960,81,,Seed,0.0,0.0,,19,2023-08-29T14:58:00.000+05:00,2023-09-01
209,2024,application,16960,121,,Seed,162.2429906542056,0.0,,19,2023-08-29T14:58:00.000+05:00,2023-09-01
209,2024,application,16960,122,,Seed,127.10280373831776,0.0,,19,2023-08-29T14:58:00.000+05:00,2023-09-01
209,2024,application,16960,123,,Seed,0.0,0.0,,22,2023-08-29T14:58:00.000+05:00,2023-09-01
209,2024,application,16960,124,,Seed,0.0,0.0,,22,2023-08-29T14:58:00.000+05:00,2023-09-01
209,2025,application,34303,28,,Seed,0.39999999999999997,0.39999999999999997,,34,2025-05-06T14:44:00.000+05:00,2025-05-07
210,2021,application,4264,39,,Seed,0.0,0.4231,,34,2021-05-06T19:04:00.000+05:00,2021-05-07
210,2021,application,4264,28,,Seed,0.0,0.4231,,34,2021-05-06T19:04:00.000+05:00,2021-05-07
210,2021,application,4264,26,,Seed,0.42000000000000004,0.4231,,34,2021-05-06T19:04:00.000+05:00,2021-05-07
210,2022,application,8059,37,,Seed,0.0,220.0,,19,2022-05-22T07:19:00.000+05:00,2022-05-23
210,2022,application,8059,49,,Seed,196.5,0.0,,19,2022-05-22T07:19:00.000+05:00,2022-05-23
210,2022,application,8059,51,,Seed,0.0,0.0,,19,2022-05-22T07:19:00.000+05:00,2022-05-23
210,2022,application,8059,50,,Seed,0.0,0.0,,19,2022-05-22T07:19:00.000+05:00,2022-05-23
210,2023,application,11753,91,,Seed,373.0,350.0,,19,2023-05-08T06:13:00.000+05:00,2023-05-10
210,2023,application,11753,92,,Seed,0.0,350.0,,19,2023-05-08T06:13:00.000+05:00,2023-05-10
210,2024,application,16903,73,,Seed,263.1578947368421,0.0,,19,2023-08-25T07:45:00.000+05:00,2023-08-29
210,2024,application,16903,121,,Seed,0.0,0.0,,19,2023-08-25T07:45:00.000+05:00,2023-08-29
210,2024,application,16903,122,,Seed,0.0,0.0,,19,2023-08-25T07:45:00.000+05:00,2023-08-29
210,2024,application,16903,123,,Seed,0.0,0.0,,22,2023-08-25T07:45:00.000+05:00,2023-08-29
210,2024,application,16903,81,,Seed,0.0,0.0,,19,2023-08-25T07:45:00.000+05:00,2023-08-29
210,2024,application,16903,124,,Seed,0.0,0.0,,22,2023-08-25T07:45:00.000+05:00,2023-08-29
210,2025,application,34306,109,,Seed,0.39999999999999997,0.39999999999999997,,32,2025-05-09T11:01:00.000+05:00,2025-05-12
211,2021,application,4265,39,,Seed,0.0,0.4231,,34,2021-05-07T07:59:00.000+05:00,2021-05-07
211,2021,application,4265,28,,Seed,0.0,0.4231,,34,2021-05-07T07:59:00.000+05:00,2021-05-07
211,2021,application,4265,26,,Seed,0.42,0.4231,,34,2021-05-07T07:59:00.000+05:00,2021-05-07
212,2021,application,4266,39,,Seed,0.0,0.4231,,34,2021-05-05T05:01:00.000+05:00,2021-05-05
212,2021,application,4266,28,,Seed,0.0,0.4231,,34,2021-05-05T05:01:00.000+05:00,2021-05-05
212,2021,application,4266,26,,Seed,0.3937007874015748,0.4231,,34,2021-05-05T05:01:00.000+05:00,2021-05-05
212,2022,application,8061,37,,Seed,0.0,220.0,,19,2022-05-18T09:37:00.000+05:00,2022-05-19
212,2022,application,8061,49,,Seed,152.206,0.0,,19,2022-05-18T09:37:00.000+05:00,2022-05-19
212,2022,application,8061,51,,Seed,0.0,0.0,,19,2022-05-18T09:37:00.000+05:00,2022-05-19
212,2022,application,8061,50,,Seed,0.0,0.0,,19,2022-05-18T09:37:00.000+05:00,2022-05-19
212,2023,application,11799,62,,Seed,0.0,195.0,,19,2023-04-27T23:00:00.000+05:00,2023-06-14
212,2023,application,11799,94,,Seed,0.0,0.0,,19,2023-04-27T23:00:00.000+05:00,2023-06-14
212,2023,application,15102,36,,Seed,0.0,0.0,,19,2023-05-23T11:37:00.000+05:00,2023-05-24
212,2023,application,15102,62,,Seed,0.0,0.0,,19,2023-05-23T11:37:00.000+05:00,2023-05-24
212,2023,application,15102,93,,Seed,0.0,0.0,,19,2023-05-23T11:37:00.000+05:00,2023-05-24
212,2023,application,15102,94,,Seed,0.0,0.0,,19,2023-05-23T11:37:00.000+05:00,2023-05-24
