field_id,year,crop_id,target_yield_t_ha,dataset_tag,subset_tag,model_pred_oof_t_ha,model_pred_train_t_ha
208,2022,43.0,34.204,phases,allcrops,25.693676373452945,32.23383566989913
208,2023,43.0,15.494,phases,allcrops,14.273345721912056,15.673188074728728
208,2024,40.0,28.781,phases,allcrops,29.258187509189757,28.719369012439696
208,2025,43.0,30.721,phases,allcrops,33.01609206152817,32.97739969225794
209,2010,40.0,20.058,phases,allcrops,20.334678125895145,20.767159398048722
209,2011,40.0,21.288,phases,allcrops,27.62333993334341,23.268334314918103
209,2012,40.0,21.412,phases,allcrops,22.979562377692893,21.295498003621585
209,2013,40.0,17.872,phases,allcrops,22.433789394163643,19.439452036665447
209,2014,40.0,27.874,phases,allcrops,21.44354584326077,24.54064020047623
209,2015,40.0,19.986,phases,allcrops,23.63775756813875,22.111429735723757
209,2016,40.0,25.161,phases,allcrops,20.701790203750086,25.247719420876496
209,2017,44.0,31.563,phases,allcrops,25.06554554954432,29.586609241715372
209,2018,40.0,23.351,phases,allcrops,26.41103322514912,24.760933062673775
209,2019,20.0,14.083,phases,allcrops,19.486865701166966,15.829108716517414
209,2020,16.0,28.142,phases,allcrops,16.511189614909547,29.231121350210383
209,2021,40.0,23.811,phases,allcrops,25.896984527991634,25.389879860990106
209,2022,43.0,34.979,phases,allcrops,29.374036290989128,34.473222370619794
209,2023,44.0,30.968,phases,allcrops,24.90123611514072,28.605357862667393
209,2024,44.0,56.417,phases,allcrops,31.493457735408345,55.448472172673725
209,2025,40.0,30.953,phases,allcrops,29.374414333012886,29.96273212412802
210,2010,40.0,24.812,phases,allcrops,21.806025048740885,23.20816617372003
210,2011,40.0,23.706,phases,allcrops,26.67951918999684,22.880232149597624
210,2012,40.0,18.137,phases,allcrops,18.82904623748368,17.589735045011064
210,2013,40.0,19.414,phases,allcrops,25.899060892291054,21.81224953862404
210,2014,40.0,29.256,phases,allcrops,29.030107716600053,29.153774529715765
210,2015,40.0,24.408,phases,allcrops,25.840836081466264,24.13244338304166
210,2016,40.0,28.707,phases,allcrops,21.482860784485805,26.928676675076908
210,2017,44.0,24.049,phases,allcrops,28.990674324324775,27.505479027407624
