field_id,year,y_true,y_model_oof,field_name_fields,y_cropwise_pred,field_name_cropwise
214,2010,19.55,20.264656801512,лесополосы (козлов увал правый) 05-080-025-208,,
214,2011,20.53,24.13508137950092,лесополосы (козлов увал правый) 05-080-025-208,,
214,2012,16.657,19.62707864400844,лесополосы (козлов увал правый) 05-080-025-208,,
214,2013,20.64,23.36963303826821,лесополосы (козлов увал правый) 05-080-025-208,,
214,2014,26.513,23.24518558990522,лесополосы (козлов увал правый) 05-080-025-208,,
214,2015,22.145,23.97876043828549,лесополосы (козлов увал правый) 05-080-025-208,,
214,2016,23.114,17.67887425241223,лесополосы (козлов увал правый) 05-080-025-208,,
214,2017,24.927,20.74706668141113,лесополосы (козлов увал правый) 05-080-025-208,,
214,2018,26.65,23.50195194312385,лесополосы (козлов увал правый) 05-080-025-208,26.65,лесополосы (козлов увал правый) 05-080-025-208
214,2019,21.573,24.920827043439644,лесополосы (козлов увал правый) 05-080-025-208,21.573,лесополосы (козлов увал правый) 05-080-025-208
214,2020,15.097,17.691019650399742,лесополосы (козлов увал правый) 05-080-025-208,15.097,лесополосы (козлов увал правый) 05-080-025-208
214,2021,28.408,28.33239181014837,лесополосы (козлов увал правый) 05-080-025-208,28.408,лесополосы (козлов увал правый) 05-080-025-208
214,2022,23.271,25.93753484261376,лесополосы (козлов увал правый) 05-080-025-208,23.271,лесополосы (козлов увал правый) 05-080-025-208
214,2023,16.104,17.27788413356794,лесополосы (козлов увал правый) 05-080-025-208,16.104,лесополосы (козлов увал правый) 05-080-025-208
214,2025,30.119,33.65981272977559,лесополосы (козлов увал правый) 05-080-025-208,30.119,лесополосы (козлов увал правый) 05-080-025-208
215,2010,25.285,18.94444339297868,лоскутиха,,
215,2011,22.013,24.9826663318423,лоскутиха,,
215,2012,19.233,20.524010011667947,лоскутиха,,
215,2013,11.653,16.93508067237913,лоскутиха,,
215,2014,26.138,25.89379055487066,лоскутиха,,
215,2015,14.253,13.1063242225557,лоскутиха,,
215,2016,19.726,23.465739464874535,лоскутиха,,
215,2017,15.818,20.766943956088003,лоскутиха,,
215,2018,23.53,23.530585029199216,лоскутиха,23.53,лоскутиха
215,2019,21.773,25.391709846772752,лоскутиха,21.773,лоскутиха
215,2020,15.953,24.89490075797055,лоскутиха,15.953,лоскутиха
215,2021,26.547,23.809408047711155,лоскутиха,26.547,лоскутиха
215,2022,27.345,24.10979133011269,лоскутиха,27.345,лоскутиха
215,2023,24.396,24.934105679583983,лоскутиха,24.396,лоскутиха
215,2024,42.056,31.28695957401656,лоскутиха,42.056,лоскутиха
215,2025,25.924,25.5843790633909,лоскутиха,25.924,лоскутиха
216,2010,28.838,24.061106323305324,никитушкин,,
216,2011,24.407,24.426449065349008,никитушкин,,
216,2012,24.394,23.022242243109595,никитушкин,,
216,2013,24.091,26.33056017329517,никитушкин,,
216,2014,29.909,25.283918484046183,никитушкин,,
216,2015,27.174,25.629231351288627,никитушкин,,
216,2016,26.756,22.991279900559725,никитушкин,,
216,2017,16.878,27.78429630356352,никитушкин,,
216,2018,21.175,26.31222604246753,никитушкин,21.175,никитушкин
216,2019,21.598,27.315394628418755,никитушкин,21.598,никитушкин
216,2020,21.373,23.18853805609722,никитушкин,21.373,никитушкин
216,2021,26.041,27.50824978703417,никитушкин,26.041,никитушкин
216,2022,39.809,32.09129160439466,никитушкин,39.809,никитушкин
216,2023,25.551,33.74087728915398,никитушкин,25.551,никитушкин
216,2024,53.586,34.779624032582305,никитушкин,53.586,никитушкин
216,2025,28.421,29.79852860393056,никитушкин,28.421,никитушкин
217,2010,20.382,20.557310772842545,овчинников увал,,
217,2011,24.75,22.26103096572652,овчинников увал,,
217,2012,16.152,19.21560135068193,овчинников увал,,
217,2013,22.975,21.401092661816215,овчинников увал,,
217,2014,30.689,26.32219629494157,овчинников увал,,
217,2015,12.51,16.22481623511006,овчинников увал,,
217,2016,22.364,22.5576177320876,овчинников увал,,
217,2017,9.526,21.67749497895896,овчинников увал,,
217,2018,11.881,17.63457549437033,овчинников увал,11.881,овчинников увал
217,2019,21.411,24.66177406723893,овчинников увал,21.411,овчинников увал
217,2020,19.61,15.726879280321116,овчинников увал,19.61,овчинников увал
217,2021,31.133,27.17061846429572,овчинников увал,31.133,овчинников увал
217,2022,34.127,28.22886310918632,овчинников увал,34.127,овчинников увал
217,2023,16.278,24.34595504350352,овчинников увал,16.278,овчинников увал
217,2024,33.542,29.735019069185523,овчинников увал,33.542,овчинников увал
217,2025,27.186,29.786436063663828,овчинников увал,27.186,овчинников увал
218,2010,24.997,19.32902063602805,палатьи,,
218,2011,16.986,17.710797280485508,палатьи,,
218,2012,18.592,19.76839385407248,палатьи,,
