field_id,year,crop_id,target_yield_t_ha,model_pred_oof_t_ha,model_pred_train_t_ha
209,2012,40.0,21.412,22.5492127942841,21.970860436661038
209,2013,40.0,17.872,21.998785401416065,19.118260040595334
209,2014,40.0,27.874,21.923651330347766,24.45184532915497
209,2015,40.0,19.986,24.204962062049304,21.86861028457928
209,2016,40.0,25.161,20.337289412611263,24.75705127491452
209,2017,44.0,31.563,25.331018736329035,28.787714081225484
209,2018,40.0,23.351,27.021992801659152,25.45355495192894
209,2019,20.0,14.083,18.30756757413738,15.398133410887807
209,2020,16.0,28.142,15.369029200435453,29.682109329192457
209,2021,40.0,23.811,25.81310269023829,25.060086729414255
209,2022,43.0,34.979,30.87129294663772,34.57242382538367
209,2023,44.0,30.968,24.31704267294908,29.225808813536396
209,2024,44.0,56.417,31.342048247293576,55.29514779670349
209,2025,40.0,30.953,28.072880900198154,29.027238210586457
210,2010,40.0,24.812,21.668726086159396,22.970706119483598
210,2011,40.0,23.706,26.32843862127229,22.606297867061752
210,2012,40.0,18.137,18.51819218647039,17.01312124171575
210,2013,40.0,19.414,27.15033043401827,22.532577153582228
210,2014,40.0,29.256,29.320297605624308,29.839344012198705
210,2015,40.0,24.408,26.07459102632294,24.392475178178582
210,2016,40.0,28.707,20.69567454447684,26.127313181452553
210,2017,44.0,24.049,30.327605075597255,27.617782686569445
210,2018,21.0,17.359,20.003065141894663,16.87189306269423
210,2019,40.0,24.037,27.700552166807753,24.335683178968672
210,2020,44.0,21.218,17.61286361925096,20.023095534736772
210,2021,40.0,29.186,28.223834359949137,29.469073507614965
210,2022,43.0,34.1,28.582891800020075,33.190049737078084
210,2023,24.0,16.518,21.859220084692893,16.790322010063974
210,2024,44.0,57.541,29.58949247423709,53.781645078143605
210,2025,40.0,26.162,27.525538626619444,27.882780334379525
211,2017,44.0,18.834,23.02705906584522,20.364970770682273
211,2019,40.0,23.18,25.07053006753369,23.15656249532957
211,2020,44.0,24.044,17.759694570991293,21.91011400868164
211,2021,40.0,29.907,27.83722941847951,29.56519120448202
211,2022,43.0,34.704,27.05095484943252,32.790917924214625
212,2010,40.0,25.729,19.2410674693885,22.581820825242005
212,2011,40.0,21.887,25.343984904752393,24.01267344138449
212,2012,40.0,24.481,26.087493051623095,23.699634491916875
212,2013,40.0,21.99,21.397649405126582,20.625682709904062
212,2014,40.0,24.5,23.335599095538512,24.718810272672332
212,2015,40.0,16.854,21.722899394715764,18.335209255968476
212,2016,40.0,27.669,19.544619562086112,24.462112344234765
212,2017,40.0,16.862,20.29010747032537,17.63952383852276
212,2018,40.0,13.272,18.518031472823317,14.828692037979692
212,2019,40.0,24.78,25.526168870887513,23.455601794788222
212,2020,43.0,13.132,16.006781813969535,13.852306677247498
212,2021,40.0,32.197,26.8427463137513,29.964624932796088
212,2022,43.0,30.777,28.41970680685611,32.16325332066039
212,2023,43.0,16.78,15.758069752986124,16.570455918042324
212,2024,40.0,31.718,28.037266015443173,31.355213707324186
212,2025,43.0,28.967,27.693504756264723,29.1429428455299
213,2010,40.0,21.619,20.332927625330548,21.577453771403267
213,2011,40.0,19.84,24.853747421821723,20.20630565587908
213,2012,40.0,16.418,20.09931373532951,19.125448757375253
213,2013,40.0,20.484,23.635447821779618,20.917939916784366
213,2014,40.0,24.244,24.389720709051836,24.811297676799903
213,2015,40.0,21.305,23.497570271221843,22.623485147426543
213,2016,40.0,24.174,18.66717710133055,23.859885568779305
213,2017,40.0,24.459,19.40030596093766,21.230734960995726
213,2018,40.0,26.765,24.497436312249548,25.242226485872706
213,2019,20.0,19.759,19.224844841819507,17.628119987965317
213,2020,43.0,15.964,18.531949007599533,15.396817415625666
213,2021,43.0,33.956,27.560284805319988,30.804015964900092
213,2022,40.0,23.059,26.59170085610959,24.786850727926982
213,2023,43.0,16.769,19.76109875311641,17.616141616158014
213,2025,3.0,30.796,35.8047778347781,32.422044518855586
214,2010,40.0,19.55,20.264656801512,21.05131766377224
214,2011,40.0,20.53,24.13508137950092,20.40557079722633
214,2012,40.0,16.657,19.62707864400844,17.6013312686055
214,2013,40.0,20.64,23.36963303826821,20.0559946900288
214,2014,40.0,26.513,23.24518558990522,24.49977559117734
214,2015,40.0,22.145,23.97876043828549,22.46775055902543
214,2016,40.0,23.114,17.67887425241223,22.718236744333666
214,2017,40.0,24.927,20.74706668141113,22.633821353825887
214,2018,40.0,26.65,23.50195194312385,24.584431568608277
214,2019,40.0,21.573,24.920827043439644,22.83388603369075
214,2020,43.0,15.097,17.691019650399742,14.467616715173882
214,2021,43.0,28.408,28.33239181014837,29.451694138704983
214,2022,40.0,23.271,25.937534842613758,24.546233338778272
214,2023,43.0,16.104,17.27788413356794,16.457940319612746
214,2025,3.0,30.119,33.65981272977559,31.664865192654023
215,2010,40.0,25.285,18.944443392978677,23.0972075789307
215,2011,40.0,22.013,24.9826663318423,23.038043089280055
215,2012,40.0,19.233,20.524010011667947,18.393173868487374
215,2013,40.0,11.653,16.93508067237913,12.075444888260604
215,2014,40.0,26.138,25.89379055487066,24.88699815185251
215,2015,40.0,14.253,13.106324222555699,12.988612825230208
215,2016,40.0,19.726,23.465739464874538,23.681129009789387
215,2017,20.0,15.818,20.766943956088003,15.457072456063912
215,2018,40.0,23.53,23.530585029199216,23.729071672220844
215,2019,40.0,21.773,25.391709846772752,22.421211547419027
215,2020,43.0,15.953,24.89490075797055,18.678458657893096
215,2021,40.0,26.547,23.809408047711155,24.87219700737379
215,2022,43.0,27.345,24.10979133011269,27.83724174647045
215,2023,3.0,24.396,24.934105679583983,23.863539663365295
215,2024,44.0,42.056,31.286959574016556,42.68631212652381
215,2025,40.0,25.924,25.5843790633909,26.675529813907563
216,2010,40.0,28.838,24.061106323305324,27.018065490113518
216,2011,40.0,24.407,24.426449065349008,24.024000756479353
216,2012,40.0,24.394,23.022242243109595,23.566708778529208
216,2013,40.0,24.091,26.330560173295172,25.041293585496003
216,2014,40.0,29.909,25.283918484046183,28.007662353574265
216,2015,40.0,27.174,25.629231351288627,24.42545970856449
216,2016,40.0,26.756,22.991279900559725,26.829738180629008
216,2017,20.0,16.878,27.78429630356352,17.295494283653706
216,2018,40.0,21.175,26.31222604246753,22.534504524205524
216,2019,40.0,21.598,27.315394628418755,22.266451154975307
216,2020,43.0,21.373,23.18853805609722,21.57653557459219
216,2021,40.0,26.041,27.508249787034174,27.15021305526992
216,2022,43.0,39.809,32.09129160439466,38.885106106492806
216,2023,3.0,25.551,33.74087728915398,27.446807352891653
216,2024,44.0,53.586,34.779624032582305,52.07900211058386
216,2025,40.0,28.421,29.798528603930556,28.636989232042357
217,2010,40.0,20.382,20.557310772842545,20.84322435223515
217,2011,40.0,24.75,22.26103096572652,22.46911829452026
