field_id,year,y_true,cropwise_pred_asof_0701,cropwise_pred_asof_0801,cropwise_pred_asof_0901,cropwise_pred_final
220,2019,22.518,24.154,22.225,28.589,22.518
220,2020,17.675,17.684,17.675,17.675,17.675
220,2021,25.487,24.085,28.005,30.557,25.487
220,2022,32.34,30.504,42.788,34.874,32.34
220,2023,25.408,26.805,27.59,25.408,25.408
220,2024,39.769,36.352,37.114,38.434,39.769
220,2025,36.214,30.496,36.214,36.214,36.214
221,2017,12.331,16.062,12.331,12.331,12.331
221,2019,28.217,22.328,25.364,30.438,28.217
221,2020,28.632,22.152,28.632,28.632,28.632
221,2021,27.167,24.883,25.108,24.777,27.167
221,2022,41.328,40.447,41.328,41.328,41.328
222,2010,24.025,26.452,25.431,25.099,24.025
222,2011,22.814,32.746,23.96,21.497,22.814
222,2012,13.562,17.604,18.873,14.585,13.562
222,2013,11.753,13.821,12.62,10.008,11.753
222,2014,23.248,25.94,23.418,22.855,23.248
222,2015,19.893,21.688,17.266,20.51,19.893
222,2016,16.724,22.264,22.115,15.03,16.724
222,2017,14.756,16.903,14.756,14.756,14.756
222,2018,20.337,21.102,15.653,16.461,20.337
222,2019,25.605,22.677,21.036,24.673,25.605
222,2020,9.872,24.92,9.872,9.872,9.872
222,2021,27.129,27.789,22.581,27.158,27.129
222,2022,34.904,26.5,29.77,35.86,34.904
222,2023,20.631,25.429,25.3,20.631,20.631
222,2024,42.83,31.423,42.654,39.848,42.83
222,2025,29.642,23.774,25.026,25.682,29.642
223,2010,28.213,28.406,28.314,28.757,28.213
223,2011,29.624,27.59,29.322,29.256,29.624
223,2012,13.923,24.442,23.239,18.716,13.923
223,2013,14.59,19.152,13.755,15.475,14.59
223,2014,24.033,27.217,23.729,23.132,24.033
223,2015,14.01,22.44,17.468,14.144,14.01
223,2016,21.369,21.368,27.089,26.094,21.369
223,2017,15.957,15.262,15.957,15.957,15.957
223,2018,15.562,17.241,12.144,12.351,15.562
223,2019,24.601,19.398,21.35,24.036,24.601
223,2020,11.26,13.154,11.26,11.26,11.26
223,2021,26.7,19.953,24.306,26.313,26.7
223,2022,28.408,29.854,30.817,29.479,28.408
223,2023,19.374,17.638,18.187,20.345,19.374
223,2024,42.385,39.329,35.34,42.385,42.385
223,2025,27.165,23.918,21.723,26.926,27.165
224,2010,27.485,22.061,30.426,30.71,27.485
224,2011,22.157,24.916,19.105,23.635,22.157
224,2012,28.529,21.589,25.847,28.512,28.529
224,2013,24.626,25.572,28.302,25.673,24.626
224,2014,26.593,20.854,25.771,26.128,26.593
224,2015,19.421,25.42,23.752,19.535,19.421
224,2016,27.308,26.533,29.193,26.993,27.308
224,2017,18.488,15.905,18.488,18.488,18.488
224,2018,21.925,21.112,18.034,18.417,21.925
224,2019,23.3,28.208,24.126,25.131,23.3
224,2020,17.282,16.532,17.282,17.282,17.282
224,2021,24.671,26.346,24.054,26.733,24.671
224,2022,33.052,31.173,35.203,33.052,33.052
224,2023,22.415,20.122,18.807,22.415,22.415
224,2024,49.363,43.833,49.363,49.363,49.363
224,2025,29.077,27.087,27.18,31.024,29.077
225,2017,20.693,24.988,20.693,20.693,20.693
225,2019,19.401,27.368,28.852,21.581,19.401
225,2020,35.471,32.45,35.471,35.471,35.471
225,2021,21.724,27.541,24.835,23.085,21.724
225,2022,45.8,47.551,45.8,45.8,45.8
226,2010,20.662,25.714,18.831,18.826,20.662
226,2011,25.954,25.572,25.316,23.192,25.954
226,2012,13.478,23.435,23.574,20.72,13.478
226,2013,18.177,18.671,19.839,19.374,18.177
226,2014,22.283,25.923,22.824,21.315,22.283
226,2015,18.338,27.358,27.465,24.205,18.338
226,2016,27.698,25.863,26.141,27.255,27.698
226,2017,26.29,29.087,26.942,27.157,26.29
226,2018,20.143,19.83,17.157,22.619,20.143
226,2019,23.403,22.32,23.326,21.576,23.403
226,2020,15.046,18.243,15.046,15.046,15.046
226,2021,27.516,20.779,25.431,29.791,27.516
226,2022,29.26,31.174,25.872,29.26,29.26
226,2023,21.623,20.064,17.199,21.623,21.623
226,2024,45.445,52.123,45.445,45.445,45.445
226,2025,32.845,27.547,29.094,33.879,32.845
227,2010,27.361,25.381,30.702,29.097,27.361
227,2011,17.692,25.311,17.47,16.833,17.692
227,2012,16.476,25.461,21.507,17.598,16.476
227,2013,20.165,22.244,22.541,25.713,20.165
227,2014,24.01,28.734,22.76,23.633,24.01
227,2015,16.342,20.281,24.245,17.598,16.342
227,2016,18.933,28.472,20.184,17.441,18.933
227,2017,17.968,29.259,21.183,18.653,17.968
227,2018,24.438,22.504,20.135,24.276,24.438
227,2019,19.179,18.331,19.179,19.179,19.179
227,2020,22.098,18.151,22.098,22.098,22.098
227,2021,35.711,35.56,35.711,35.711,35.711
227,2022,32.383,26.258,32.383,32.383,32.383
227,2023,25.029,19.678,23.906,22.53,25.029
227,2024,35.776,43.205,37.16,35.776,35.776
227,2025,28.22,23.936,28.562,28.22,28.22
228,2010,23.478,24.234,26.774,22.698,23.478
228,2011,18.424,22.766,23.883,20.636,18.424
228,2012,11.162,16.278,10.869,11.055,11.162
228,2013,24.112,27.673,23.166,24.036,24.112
228,2014,30.21,20.201,21.83,27.265,30.21
228,2015,16.277,20.985,14.777,13.195,16.277
228,2016,15.54,26.458,28.206,19.481,15.54
228,2017,30.466,28.212,27.721,30.336,30.466
228,2018,64.855,82.518,43.438,55.62,64.855
228,2019,22.165,15.787,14.007,21.823,22.165
228,2020,20.305,21.523,20.305,20.305,20.305
228,2021,37.058,28.911,37.058,37.058,37.058
228,2022,32.991,28.894,34.387,32.991,32.991
228,2023,22.995,23.086,22.995,22.995,22.995
228,2024,26.042,24.487,29.244,30.939,26.042
228,2025,35.23,32.354,35.23,35.23,35.23
229,2010,14.924,23.67,20.44,15.966,14.924
229,2011,16.809,23.874,15.898,14.859,16.809
229,2012,9.024,15.478,14.025,8.783,9.024
229,2013,18.671,22.546,25.143,24.913,18.671
229,2014,18.888,19.121,14.465,17.673,18.888
229,2015,16.917,20.086,9.883,16.24,16.917
229,2016,15.335,24.535,17.718,14.764,15.335
229,2017,23.881,24.871,22.839,20.514,23.881
229,2018,28.837,91.333,35.665,39.653,28.837
229,2019,16.983,23.071,15.899,15.674,16.983
229,2020,22.21,27.312,22.21,22.21,22.21
229,2021,24.469,23.245,24.469,24.469,24.469
229,2022,26.656,21.967,30.135,26.656,26.656
229,2023,20.76,23.58,20.76,20.76,20.76
229,2024,20.838,27.904,22.287,22.845,20.838
229,2025,31.488,33.44,31.488,31.488,31.488
230,2010,25.814,20.938,24.56,22.88,25.814
230,2011,17.643,30.419,21.326,17.758,17.643
230,2012,22.159,22.162,29.63,24.147,22.159
230,2013,28.546,30.342,23.36,25.841,28.546
230,2014,20.745,28.309,21.971,19.312,20.745
230,2015,20.985,31.925,25.37,18.443,20.985
230,2016,21.473,27.07,20.33,20.08,21.473
230,2017,28.902,23.775,31.72,24.662,28.902
230,2018,16.839,29.813,19.802,17.911,16.839
