field_id,year,y_true,cropwise_pred_asof_0701,cropwise_pred_asof_0801,cropwise_pred_asof_0901,y_model_oof
214,2020,15.097,21.065,15.097,15.097,17.691019650399742
214,2021,28.408,20.593,35.127,31.157,28.33239181014837
214,2022,23.271,32.154,26.556,21.227,25.93753484261376
214,2023,16.104,17.42,16.104,16.104,17.27788413356794
214,2025,30.119,29.945,30.967,30.119,33.65981272977559
215,2010,25.285,23.392,22.298,23.498,18.94444339297868
215,2011,22.013,29.251,29.675,21.831,24.9826663318423
215,2012,19.233,18.66,21.31,17.376,20.524010011667947
215,2013,11.653,14.363,16.896,12.308,16.93508067237913
215,2014,26.138,27.157,26.323,29.935,25.89379055487066
215,2015,14.253,15.446,15.12,15.538,13.1063242225557
215,2016,19.726,29.926,31.753,30.113,23.465739464874535
215,2017,15.818,15.872,15.818,15.818,20.766943956088003
215,2018,23.53,21.935,20.432,21.809,23.530585029199216
215,2019,21.773,16.133,18.391,24.76,25.391709846772752
215,2020,15.953,14.959,15.953,15.953,24.89490075797055
215,2021,26.547,22.252,26.14,26.519,23.809408047711155
215,2022,27.345,29.058,26.435,27.345,24.10979133011269
215,2023,24.396,21.417,20.213,24.396,24.934105679583983
215,2024,42.056,41.199,42.056,42.056,31.28695957401656
215,2025,25.924,26.576,27.828,26.681,25.5843790633909
216,2010,28.838,19.694,21.123,24.226,24.061106323305324
216,2011,24.407,32.94,27.671,26.862,24.426449065349008
216,2012,24.394,23.882,24.696,24.66,23.022242243109595
216,2013,24.091,24.863,27.868,26.361,26.33056017329517
216,2014,29.909,31.316,31.452,28.576,25.283918484046183
216,2015,27.174,24.832,32.385,29.849,25.629231351288627
216,2016,26.756,29.184,32.46,32.421,22.991279900559725
216,2017,16.878,17.74,16.878,16.878,27.78429630356352
216,2018,21.175,23.148,24.412,17.873,26.31222604246753
216,2019,21.598,24.647,25.018,24.692,27.315394628418755
216,2020,21.373,19.066,21.373,21.373,23.18853805609722
216,2021,26.041,23.702,26.715,27.872,27.50824978703417
216,2022,39.809,37.896,39.165,39.809,32.09129160439466
216,2023,25.551,23.16,28.09,25.551,33.74087728915398
216,2024,53.586,47.169,53.586,53.586,34.779624032582305
216,2025,28.421,28.066,32.991,29.402,29.79852860393056
217,2010,20.382,23.553,16.109,15.508,20.557310772842545
217,2011,24.75,25.013,27.799,20.961,22.26103096572652
217,2012,16.152,24.339,20.207,15.782,19.21560135068193
217,2013,22.975,19.207,21.011,26.986,21.401092661816215
217,2014,30.689,21.531,28.514,32.065,26.32219629494157
217,2015,12.51,15.958,9.95,12.33,16.22481623511006
217,2016,22.364,23.868,22.474,19.899,22.5576177320876
217,2017,9.526,10.224,9.526,9.526,21.67749497895896
217,2018,11.881,24.639,14.774,15.797,17.63457549437033
217,2019,21.411,21.968,20.462,24.656,24.66177406723893
217,2020,19.61,17.108,19.61,19.61,15.726879280321116
217,2021,31.133,20.68,24.75,26.262,27.17061846429572
217,2022,34.127,34.24,33.19,36.563,28.22886310918632
217,2023,16.278,19.21,19.229,18.331,24.34595504350352
217,2024,33.542,29.491,31.949,32.312,29.735019069185523
217,2025,27.186,27.976,27.186,27.186,29.786436063663828
218,2010,24.997,21.88,29.475,24.08,19.32902063602805
218,2011,16.986,21.901,23.306,20.67,17.710797280485508
218,2012,18.592,24.981,21.944,17.683,19.76839385407248
218,2013,13.76,17.041,11.63,16.618,17.693416275374183
218,2014,21.887,21.634,24.846,18.58,18.66654873370621
218,2015,18.712,26.21,21.262,19.28,19.71422720521867
218,2016,14.839,25.32,18.545,18.156,15.91056222315606
218,2017,12.974,18.023,22.161,21.824,19.264302013431383
218,2018,16.403,22.761,10.893,14.275,16.49488761850212
218,2019,17.299,20.492,20.758,21.517,22.445755510430367
218,2020,17.929,21.049,17.929,17.929,14.279856423752689
218,2021,25.34,21.287,20.886,26.262,22.655460831687964
218,2022,25.543,30.59,26.648,25.543,22.185336389510372
218,2023,23.995,21.646,24.768,23.995,29.07827116545414
218,2024,34.0,35.061,33.049,34.0,30.29848572222528
218,2025,26.461,26.811,26.461,26.461,28.430513891332154
219,2010,24.063,15.789,31.9,21.83,21.48704919440288
219,2011,20.567,33.576,26.612,20.065,24.244336732312103
219,2012,18.639,21.019,24.855,18.359,22.039607551015383
219,2013,17.676,19.748,17.06,19.989,23.151850822164253
219,2014,23.038,27.345,29.118,21.468,27.441921717070315
219,2015,25.288,23.165,27.752,23.476,25.36901790656636
219,2016,22.132,24.283,14.098,16.462,18.20353537470878
219,2017,30.346,27.313,30.346,30.346,35.008920782147015
219,2018,18.597,19.398,14.032,20.729,21.586516675518507
219,2019,21.936,18.412,19.478,24.422,25.78022605929912
219,2020,11.434,20.603,11.434,11.434,15.47128316784978
219,2021,32.401,16.074,28.048,29.821,28.463397929722426
219,2022,34.281,30.893,28.246,34.502,27.672379030061904
219,2023,26.039,16.792,20.565,24.396,21.5671553274038
219,2024,33.588,42.484,42.144,32.952,33.78169178248223
219,2025,38.607,29.497,41.021,38.607,33.32406501422429
220,2010,19.949,27.261,22.898,22.448,20.226672633442472
220,2011,24.819,28.455,27.287,27.767,21.411475938310545
220,2012,17.906,23.48,25.617,24.083,20.446767942416635
220,2013,18.199,26.532,17.288,14.804,20.87050405641232
220,2014,20.431,22.708,17.545,20.184,22.926864621895906
220,2015,23.007,31.307,26.416,23.381,23.59763773231799
220,2016,27.921,30.426,31.717,31.136,18.8093687265956
220,2017,20.171,20.317,20.171,20.171,18.52575724616421
220,2018,19.641,29.945,23.354,15.19,21.32091949685661
220,2019,22.518,24.154,22.225,28.589,24.724839356884303
220,2020,17.675,17.684,17.675,17.675,25.288688451978512
220,2021,25.487,24.085,28.005,30.557,27.30549597472836
220,2022,32.34,30.504,42.788,34.874,29.976992495481426
220,2023,25.408,26.805,27.59,25.408,30.775503156916
220,2024,39.769,36.352,37.114,38.434,30.917844031536752
220,2025,36.214,30.496,36.214,36.214,29.000106165791905
221,2017,12.331,16.062,12.331,12.331,27.723898023252715
221,2019,28.217,22.328,25.364,30.438,27.34964010407636
221,2020,28.632,22.152,28.632,28.632,26.76340324445984
221,2021,27.167,24.883,25.108,24.777,28.83159655091866
221,2022,41.328,40.447,41.328,41.328,34.15269633480546
222,2010,24.025,26.452,25.431,25.099,19.48640125317618
222,2011,22.814,32.746,23.96,21.497,24.97951459737953
222,2012,13.562,17.604,18.873,14.585,19.266600614628288
222,2013,11.753,13.821,12.62,10.008,16.182644965745244
222,2014,23.248,25.94,23.418,22.855,27.421669501190653
