field_id,year,crop_id,target_yield_t_ha,dataset_tag,subset_tag,model_pred_oof_t_ha,model_pred_train_t_ha
222,2010,40.0,24.025,phases,sunflower,19.64562303163579,23.495858644589514
222,2011,40.0,22.814,phases,sunflower,25.26270556766528,23.47810323877149
222,2012,40.0,13.562,phases,sunflower,18.327301993490895,14.43911706869126
222,2013,40.0,11.753,phases,sunflower,12.462227843822573,11.759420291851615
222,2014,40.0,23.248,phases,sunflower,27.03275927241912,23.89478821048553
222,2015,40.0,19.893,phases,sunflower,21.321686969119867,19.822672476891366
222,2016,40.0,16.724,phases,sunflower,18.541358925005575,17.634868219011896
222,2018,40.0,20.337,phases,sunflower,16.61667039255922,19.3093558592077
222,2019,40.0,25.605,phases,sunflower,23.340121214102172,23.68290328990337
222,2021,40.0,27.129,phases,sunflower,25.845823718223272,27.04939055008067
222,2025,40.0,29.642,phases,sunflower,25.144693705679877,29.18566201909253
223,2010,40.0,28.213,phases,sunflower,24.928196607025768,27.4503863220818
223,2011,40.0,29.624,phases,sunflower,21.39628455257642,26.541952064984258
223,2012,40.0,13.923,phases,sunflower,21.880257778595585,16.671291623209115
223,2013,40.0,14.59,phases,sunflower,16.897172128326385,14.520559071121426
223,2014,40.0,24.033,phases,sunflower,25.748647328895917,24.472786530174716
223,2015,40.0,14.01,phases,sunflower,21.2589428388074,15.411831242519435
223,2016,40.0,21.369,phases,sunflower,21.716989505616905,20.667167489138567
223,2018,40.0,15.562,phases,sunflower,14.133688000196207,14.970454634374214
223,2019,40.0,24.601,phases,sunflower,25.351512409312896,23.83387734890075
223,2021,40.0,26.7,phases,sunflower,25.513763731370382,27.85193096871826
223,2025,40.0,27.165,phases,sunflower,26.48553245233743,28.218192550696045
224,2010,40.0,27.485,phases,sunflower,24.314491586227394,28.374896649919634
224,2011,40.0,22.157,phases,sunflower,26.317844054994392,23.00252279610251
224,2012,40.0,28.529,phases,sunflower,22.400935032964142,26.08277701935332
224,2013,40.0,24.626,phases,sunflower,23.29598940959754,24.312894230994434
224,2014,40.0,26.593,phases,sunflower,23.41311787839469,26.785191877950634
224,2015,40.0,19.421,phases,sunflower,23.53365948328889,19.787522013740222
224,2016,40.0,27.308,phases,sunflower,23.1746696754081,26.677851190899233
224,2018,40.0,21.925,phases,sunflower,21.40123241167646,21.42862449689799
224,2019,40.0,23.3,phases,sunflower,28.088065612569707,23.7668657098478
224,2021,40.0,24.671,phases,sunflower,24.644135034813925,25.16792433810205
224,2025,40.0,29.077,phases,sunflower,24.15536774005606,28.382204773359437
225,2019,40.0,19.401,phases,sunflower,24.954597075470186,20.667870145860228
225,2021,40.0,21.724,phases,sunflower,22.012685410536367,21.907257475882663
226,2010,40.0,20.662,phases,sunflower,19.200125330099926,20.601102320889556
226,2011,40.0,25.954,phases,sunflower,23.877253000725087,25.969352387540575
226,2012,40.0,13.478,phases,sunflower,19.166810915044785,14.628922311906674
226,2013,40.0,18.177,phases,sunflower,22.46503227869323,18.432624726673467
226,2014,40.0,22.283,phases,sunflower,25.925323390114478,22.858795682206402
226,2015,40.0,18.338,phases,sunflower,27.401790377957735,20.51069830926876
226,2016,40.0,27.698,phases,sunflower,20.962195779629823,26.39581787012455
226,2017,40.0,26.29,phases,sunflower,22.756163755449123,25.050034738067783
226,2018,40.0,20.143,phases,sunflower,23.786658845772063,21.31039135892412
226,2019,40.0,23.403,phases,sunflower,26.48510485867813,23.563068325625363
226,2021,40.0,27.516,phases,sunflower,24.939986854997606,26.956869709924003
226,2025,40.0,32.845,phases,sunflower,24.499713394897462,31.22343528736039
227,2010,40.0,27.361,phases,sunflower,19.06641375690353,25.731436333774287
227,2011,40.0,17.692,phases,sunflower,22.66072165045846,19.05745846199198
227,2012,40.0,16.476,phases,sunflower,17.504302501201245,16.530810155644073
227,2013,40.0,20.165,phases,sunflower,22.06764204160035,20.26852624856675
227,2014,40.0,24.01,phases,sunflower,19.279332245790982,23.643731198265524
227,2015,40.0,16.342,phases,sunflower,19.52765112675305,17.38095807134955
227,2016,40.0,18.933,phases,sunflower,16.74455502442012,18.267984104874643
227,2017,40.0,17.968,phases,sunflower,22.520467573191137,18.539220680708794
227,2018,40.0,24.438,phases,sunflower,24.41764352773892,24.759033340461347
227,2023,40.0,25.029,phases,sunflower,21.531902944998222,24.905068866450133
228,2010,40.0,23.478,phases,sunflower,19.574980557974477,23.927685302498702
228,2011,40.0,18.424,phases,sunflower,21.69172638743712,20.307828849447624
228,2012,40.0,11.162,phases,sunflower,15.67626902281433,10.576715574731786
228,2013,40.0,24.112,phases,sunflower,24.73581786542851,22.79331902620753
228,2014,40.0,30.21,phases,sunflower,19.997479401643393,29.02116306540958
