Поле,Регион,year,Культура,урожайность факт ц/га,урожайность прогноз ц/га,active,field_name_norm,field_id,name,lat,long,tillable_area,prod_fact_t_ha,prod_forecast_t_ha,standard_name,target_yield_t_ha,target_source,diff_prod_fact_minus_target,abs_diff
Козлов увал правый,ВКО,2023,Горох,17.408163,16.518,True,козлов увал правый,210,Козлов увал правый,50.38689148783278,82.39474357476328,247.0,1.7408162999999999,1.6518000000000002,pea,1.7267206477732793,physical_harvested_weight,0.0140956522267206,0.0140956522267206
Козлов Увал левый,ВКО,2022,Пшеница яровая,26.455776,34.979,True,козлов увал левый,209,Козлов Увал левый,50.38543507681797,82.40410883603022,301.65,2.6455776,3.4979,wheat_spring,2.657417536880491,physical_harvested_weight,-0.011839936880490676,0.011839936880490676
Козлов Увал левый,ВКО,2021,Подсолнечник,22.579538,23.811,True,козлов увал левый,209,Козлов Увал левый,50.38543507681797,82.40410883603022,301.65,2.2579538,2.3811,sunflower,2.268059008785016,physical_harvested_weight,-0.010105208785015751,0.010105208785015751
Александров ключ,ВКО,2023,Пшеница озимая,10.778182,21.542,True,александров ключ,207,Александров ключ,50.41868820400116,82.45505975772673,110.91,1.0778181999999998,2.1542000000000003,wheat_winter,1.068974844468488,physical_harvested_weight,0.008843355531511943,0.008843355531511943
Козлов Увал левый,ВКО,2023,Пшеница озимая,14.815842,30.968,True,козлов увал левый,209,Козлов Увал левый,50.38543507681797,82.40410883603022,301.65,1.4815842,3.0968,wheat_winter,1.4882148184982598,physical_harvested_weight,-0.006630618498259855,0.006630618498259855
Лоскутиха,ВКО,2025,Подсолнечник,30.739241,25.924,True,лоскутиха,215,Лоскутиха,50.481633621513765,82.55476060472243,79.0,3.0739241,2.5924,sunflower,3.0739240506329115,physical_harvested_weight,4.936708863922945e-08,4.936708863922945e-08
Большая Семёниха СК,ВКО,2022,Пшеница озимая,22.175145,32.383,True,большая семениха ск,227,Большая Семёниха СК,50.367810427378984,82.46565328214737,346.0,2.2175145,3.2383,wheat_winter,2.217514450867052,physical_harvested_weight,4.913294793240652e-08,4.913294793240652e-08
Бонн 1,ВКО,2021,Пшеница озимая,24.169492,37.058,True,бонн 1,228,Бонн 1,50.50213709474497,82.49442911808288,59.0,2.4169492000000004,3.7058,wheat_winter,2.4169491525423727,physical_harvested_weight,4.74576276054961e-08,4.74576276054961e-08
Костенькина стрелка,ВКО,2024,Подсолнечник,19.008824,31.718,True,костенькина стрелка,212,Костенькина стрелка,50.42075375796417,82.34016151551197,136.0,1.9008824,3.1718,sunflower,1.900882352941176,physical_harvested_weight,4.705882394873129e-08,4.705882394873129e-08
Овчинников увал,ВКО,2024,Подсолнечник,29.758824,33.542,True,овчинников увал,217,Овчинников увал,50.43109339579996,82.33960413919709,408.0,2.9758824,3.3542,sunflower,2.9758823529411766,physical_harvested_weight,4.705882350464208e-08,4.705882350464208e-08
