scenario,asof_tag,model,field_id,field_name_csv,year,standard_name,prod_crop_ru,target_yield_t_ha,ml_pred,cropwise_asof_t_ha,ml_error,cw_error,ml_abs_error,cw_abs_error,ml_mape_row,cw_mape_row,ml_wins,tillable_area,underprediction,field_tillable_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_mean_asof,ndvi_max_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_anom_mean_asof,ndvi_anom_last_value_asof,wx_precip_sum_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_vpd_max_to_asof,wx_hot_d30_to_asof,wx_dry_days_to_asof,wx_sow_precip_sum,wx_sow_water_balance,sowing_date_valid,days_after_sowing_asof,gdd_from_sowing_asof,scout_n_reports_asof,scout_risk_yield_decreasing_any,scout_condition_bad_n,scout_threat_total_n,soil_sample_has_asof,soil_sample_latest_soil_pH,soil_sample_latest_soil_P,soil_sample_latest_soil_K,soil_sample_latest_soil_N_NO3,soil_sample_latest_soil_organic_matter,ops_n_asof,ops_completed_area_sum,ops_application_n,ops_sowing_n,ops_harvesting_n_asof,ops_type_list,ops_last_date,mix_fertilizer_n,mix_fertilizer_rate_sum,mix_seed_n,mix_seed_rate_sum,mix_chemical_n,mix_chemical_rate_sum,mix_applicable_types,yield_map_n,yield_map_mean,yield_map_values
all_crops,09_01,v12_no_field_id,210,Козлов увал правый,2024,wheat_winter,Пшеница озимая,5.5194939,3.0223117186893855,5.754099999999999,-2.497182181310614,0.2346060999999997,2.497182181310614,0.2346060999999997,45.2429557229987,4.250500213434419,False,247.0,2.497182181310614,247.0,7.2125,3.72,230.06625,480.10587375,9.455,423.75,0.5373333333333333,0.806,0.319,41.912,173.0,0.06822651007341,-0.1533858128799304,446.6,601.3,-154.7,3.24,11,93,992.3,171.11000000000013,1,369.0,2084.399999999999,4,0.0,0.0,0.0,1,5.791666666666667,21.91166666666666,420.0,7.993333333333332,5.086666666666667,15,2980.0,9,0,1,application;soil;other;harvesting,2024-07-24,5,387.0081797901347,6,263.1578947368421,12,3.353425101214575,Chemical;Seed;Fertilizer,0,,
all_crops,09_01,v12_no_field_id,228,Бонн 1,2022,wheat_spring,Пшеница яровая,4.5647458,2.0894605250874783,3.2991,-2.4752852749125216,-1.2656457999999997,2.4752852749125216,1.2656457999999997,54.22613620483581,27.72653408213881,False,59.0,2.4752852749125216,59.0,6.699999999999999,3.515,179.82,438.82045,7.755,420.0,0.4346399999999999,0.712,0.302,32.598,188.0,-0.0130129100970172,-0.1664955516705516,333.40000000000003,636.26,-302.85999999999996,4.0,10,110,304.2,-236.3,1,121.0,1546.999999999999,2,0.0,0.0,0.0,1,5.65,23.23,257.0,2.765,3.71,12,580.0,4,0,1,soil;application;other;harvesting,2022-08-16,2,44.74576271186441,2,215.0,10,2.1860169491525427,Chemical;Fertilizer;Seed,2,,
all_crops,07_01,v12_shallow_l30,222,Соколки 1,2023,barley_spring,Ячмень яровой,4.500500000000001,2.0363078176113625,2.5429,-2.464192182388638,-1.957600000000001,2.464192182388638,1.957600000000001,54.753742526133486,43.49738917898012,False,62.0,2.464192182388638,62.0,6.9,3.725,206.315,278.80506,4.845,420.0,0.339547619047619,0.607,0.606,14.261,180.0,-0.0535014553984294,0.0203183035714284,106.0,384.39,-278.39,4.26,7,73,61.7,-197.3100000000001,1,49.0,554.0999999999999,0,,,,1,5.45,27.25,337.0,9.465,5.6,12,496.0,5,0,0,application;soil;other,2023-06-19,3,50.2,6,206.0,8,2.095,Chemical;Seed;Fertilizer,0,,
all_crops,07_01,v12_shallow_l30,216,Никитушкин,2024,wheat_winter,Пшеница озимая,5.3421622,2.920704020921249,4.7169,-2.421458179078751,-0.6252621999999999,2.421458179078751,0.6252621999999999,45.327305469660786,11.704290820671822,False,37.0,2.421458179078751,37.0,6.4,3.71,242.68,688.96085,7.64,540.0,0.603864864864865,0.781,0.759,22.343000000000004,165.0,0.1510952465757586,0.0780560096765979,365.0,318.94999999999993,46.05000000000007,3.82,7,55,1020.3000000000002,527.1600000000003,1,300.0,980.6999999999998,1,0.0,0.0,0.0,1,5.35,37.599999999999994,591.0,6.195,5.65,12,296.0,7,0,0,application;soil;other,2024-06-14,5,331.48648648648646,6,265.4054054054054,7,0.9777027027027028,Chemical;Seed;Fertilizer,0,,
all_crops,08_01,v12_no_field_id,216,Никитушкин,2024,wheat_winter,Пшеница озимая,5.3421622,3.0865874023470425,5.3586,-2.255574797652957,0.0164378000000002,2.255574797652957,0.0164378000000002,42.22213241022441,0.3076993805991192,False,37.0,2.255574797652957,37.0,6.4,3.71,242.68,688.96085,7.64,540.0,0.5983200000000001,0.781,0.468,29.916000000000004,165.0,0.092180822068669,-0.1655378968253967,566.6000000000001,447.6,119.00000000000016,3.82,9,69,1221.9,600.1100000000001,1,331.0,1458.8000000000002,1,0.0,0.0,0.0,1,5.35,37.599999999999994,591.0,6.195,5.65,14,370.0,8,0,1,application;soil;other;harvesting,2024-07-30,5,331.48648648648646,6,265.4054054054054,8,2.9777027027027025,Chemical;Seed;Fertilizer,0,,
all_crops,08_01,v12_no_field_id,228,Бонн 1,2022,wheat_spring,Пшеница яровая,4.5647458,2.3697231548344706,3.4387,-2.1950226451655293,-1.1260458,2.1950226451655293,1.1260458,48.086415790459334,24.66831340312532,False,59.0,2.1950226451655293,59.0,6.699999999999999,3.515,179.82,438.82045,7.755,420.0,0.4557966101694915,0.712,0.417,26.892,188.0,0.0230325148857957,-0.1697101924001924,254.4,517.59,-263.19000000000005,4.0,10,89,225.2,-196.6299999999999,1,90.0,1185.4999999999998,2,0.0,0.0,0.0,1,5.65,23.23,257.0,2.765,3.71,11,521.0,4,0,0,soil;application;other,2022-07-31,2,44.74576271186441,2,215.0,10,2.1860169491525427,Chemical;Fertilizer;Seed,2,,
all_crops,07_01,v12_shallow_l30,224,Холодный ключ,2024,wheat_winter,Пшеница озимая,5.0582692,2.9237924315440496,4.3833,-2.1344767684559502,-0.6749691999999996,2.1344767684559502,0.6749691999999996,42.19776931714014,13.34387659715698,False,104.0,2.1344767684559502,104.0,6.5,3.808,191.728,598.903534,18.618,516.0,0.613054054054054,0.803,0.75,22.683,161.0,0.2280304620702914,0.1254434046345811,365.0,318.94999999999993,46.05000000000007,3.82,7,55,992.7,503.64000000000016,1,298.0,965.2999999999998,1,0.0,0.0,0.0,1,5.625,27.125,474.25,9.2325,5.9750000000000005,12,1030.0,7,0,0,application;soil;other,2024-06-14,5,324.7307692307692,6,291.44230769230774,7,0.9817307692307692,Chemical;Seed;Fertilizer,0,,
all_crops,08_01,v12_no_field_id,224,Холодный ключ,2024,wheat_winter,Пшеница озимая,5.0582692,2.923907784094645,4.9363,-2.1343614159053548,-0.1219691999999996,2.1343614159053548,0.1219691999999996,42.1954888424158,2.4112832903397012,False,104.0,2.1343614159053548,104.0,6.5,3.808,191.728,598.903534,18.618,516.0,0.5909423076923076,0.803,0.415,30.728999999999996,161.0,0.1338814481075216,-0.17881454248366,566.6000000000001,447.6,119.00000000000016,3.82,9,69,1194.3,576.59,1,329.0,1443.4,3,0.0,0.0,4.0,1,5.625,27.125,474.25,9.2325,5.9750000000000005,14,1238.0,8,0,1,application;soil;other;harvesting,2024-07-30,5,324.7307692307692,6,291.44230769230774,8,2.9817307692307686,Chemical;Seed;Fertilizer,0,,
all_crops,07_01,v12_shallow_l30,228,Бонн 1,2022,wheat_spring,Пшеница яровая,4.5647458,2.4411088348786847,2.8893999999999997,-2.123636965121315,-1.6753458,2.123636965121315,1.6753458,46.522567918706784,36.701842192395475,False,59.0,2.123636965121315,59.0,6.699999999999999,3.515,179.82,438.82045,7.755,420.0,0.4132222222222222,0.709,0.709,18.595,182.0,0.0316808538461298,0.1184772486772485,170.0,368.93,-198.93,3.51,8,69,140.8,-132.36999999999995,1,59.0,731.4999999999999,0,,,,1,5.65,23.23,257.0,2.765,3.71,10,521.0,3,0,0,soil;application;other,2022-06-20,2,44.74576271186441,2,215.0,9,2.1860169491525427,Chemical;Fertilizer;Seed,2,,
all_crops,09_01,v12_no_field_id,207,Александров ключ,2021,barley_spring,Ячмень яровой,3.5541818,1.5060014387328464,3.1641,-2.0481803612671534,-0.3900817999999999,2.0481803612671534,0.3900817999999999,57.62733806321201,10.975291134516528,False,110.91,2.0481803612671534,110.91,6.875,3.55,244.935,425.663535,5.4125,412.5,0.4471733333333333,0.754,0.196,33.538,198.0,0.0275015586269652,-0.1416893392321963,245.4,617.48,-372.08,3.84,11,115,233.59999999999997,-254.51000000000005,1,111.0,1432.2999999999995,2,0.0,0.0,0.0,1,6.475,44.3,447.0,5.550000000000001,5.275,7,749.0,4,0,1,application;soil;harvesting,2021-08-24,1,60.989010989010985,1,202.84545454545454,6,1.1422727272727273,Chemical;Fertilizer;Seed,0,,
all_crops,07_01,v12_shallow_l30,226,Штаны,2024,wheat_winter,Пшеница озимая,4.9315,2.906919075515471,5.2123,-2.0245809244845288,0.2808000000000001,2.0245809244845288,0.2808000000000001,41.0540590993517,5.694007908344321,False,40.0,2.0245809244845288,40.0,7.2,3.79,218.81,806.48818,8.56,420.0,0.5952368421052632,0.789,0.727,22.619,162.0,0.185233992735927,0.0917600458365164,370.6,322.88,47.72000000000003,3.5,7,55,940.6,444.71,1,295.0,957.9000000000004,0,,,,1,6.8,29.4,443.0,5.78,5.7,12,357.0,7,0,0,application;soil;other,2024-06-14,5,353.75,6,317.5,7,1.0,Chemical;Seed;Fertilizer,0,,
all_crops,08_01,v12_no_field_id,226,Штаны,2024,wheat_winter,Пшеница озимая,4.9315,2.9287636674282735,4.5445,-2.0027363325717262,-0.3869999999999995,2.0027363325717262,0.3869999999999995,40.61109870367488,7.847510899320685,False,40.0,2.0027363325717262,40.0,7.2,3.79,218.81,806.48818,8.56,420.0,0.576,0.789,0.45,29.952,162.0,0.1100526835201606,-0.1419643790849672,533.5,453.21,80.29000000000002,3.5,8,69,1103.5,477.28,1,326.0,1436.5000000000002,0,,,,1,6.8,29.4,443.0,5.78,5.7,13,397.0,8,0,0,application;soil;other,2024-07-24,5,353.75,6,317.5,8,3.0,Chemical;Seed;Fertilizer,0,,
all_crops,07_01,v12_shallow_l30,212,Костенькина стрелка,2021,sunflower,Подсолнечник,3.6392126,1.6886017014486008,2.1821,-1.9506108985513992,-1.4571126,1.9506108985513992,1.4571126,53.59980613804753,40.03922716688769,False,136.0,1.9506108985513992,136.0,7.140000000000001,3.766,232.258,464.594502,5.536,432.0,0.3477894736842105,0.717,0.717,13.216,182.0,0.0082470439114395,0.0963674242424241,140.5,349.03,-208.52999999999997,3.5,3,72,131.4,-123.96,1,57.0,577.4000000000001,1,0.0,0.0,0.0,1,5.9,71.34,624.0,9.292,6.06,8,930.0,5,0,0,application;soil;other,2021-06-27,11,61.17980384030944,3,0.3937007874015748,2,1.1023622047244095,Fertilizer;Seed;Chemical,0,,
all_crops,09_01,v12_no_field_id,224,Холодный ключ,2024,wheat_winter,Пшеница озимая,5.0582692,3.1468968496430407,4.9363,-1.911372350356959,-0.1219691999999996,1.911372350356959,0.1219691999999996,37.78708239484287,2.4112832903397012,False,104.0,1.911372350356959,104.0,6.5,3.808,191.728,598.903534,18.618,516.0,0.544089552238806,0.803,0.337,36.454,161.0,0.0505543361888891,-0.1729202679673268,628.2,568.45,59.75,3.82,11,91,1255.9,517.3400000000001,1,360.0,1885.4,3,0.0,0.0,4.0,1,5.625,27.125,474.25,9.2325,5.9750000000000005,14,1238.0,8,0,1,application;soil;other;harvesting,2024-07-30,5,324.7307692307692,6,291.44230769230774,8,2.9817307692307686,Chemical;Seed;Fertilizer,0,,
all_crops,08_01,v12_no_field_id,233,Корнеюшкин ,2021,wheat_winter,Пшеница озимая,3.6453846,1.7862534441115336,3.4055999999999997,-1.8591311558884664,-0.2397846000000001,1.8591311558884664,0.2397846000000001,50.99958879204313,6.577758626620635,False,39.0,1.8591311558884662,39.0,6.7,3.57,211.75,698.55237,6.06,510.0,0.5587962962962963,0.701,0.538,30.175,181.0,0.0781471702638481,-0.0199287131519273,197.4,491.86999999999995,-294.46999999999997,3.84,9,91,630.9,-54.379999999999995,1,332.0,1325.4000000000003,1,0.0,0.0,1.0,1,5.25,33.6,478.5,12.55,5.35,5,189.0,5,0,0,application,2021-07-08,3,153.71255060728745,1,0.0,13,2.3055330634278004,Chemical;Fertilizer;Seed,2,,
