field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source,spread_t_ha,sources_used
209,2024,wheat_winter,4.5289739764627885,6.3839486,4.5289739764627885,63.839486,,,,56.417,5.6417,Пшеница озимая,6.3839486,5.6417,3.31,2.0,wheat_winter,4.5289739764627885,physical_harvested_weight,3.0739486,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
217,2020,wheat_spring,,3.37,,3.37,,,,19.61,1.9609999999999999,Пшеница яровая,0.337,1.9609999999999999,,,wheat_spring,3.37,productivity_normalized,3.033,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
211,2020,wheat_winter,,3.19,,3.19,,,,24.044,2.4044,Пшеница озимая,0.319,2.4044,,,wheat_winter,3.19,productivity_normalized,2.871,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
214,2020,wheat_spring,,3.19,,3.19,,,,15.097,1.5097,Пшеница яровая,0.319,1.5097,,,wheat_spring,3.19,productivity_normalized,2.871,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
222,2023,barley_spring,4.5005,4.500500000000001,4.5005,45.005,,,,20.631,2.0631,Ячмень яровой,4.500500000000001,2.0631,,,barley_spring,4.5005,physical_harvested_weight,2.4374000000000007,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
213,2021,wheat_spring,1.3155714285714286,1.3155714,1.3155714285714286,13.155714,,,,33.956,3.3956000000000004,Пшеница яровая,1.3155714,3.3956000000000004,1.0774947589098534,1.0,wheat_spring,1.3155714285714286,physical_harvested_weight,2.318105241090147,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
195,2023,wheat_winter,0.8904065040650406,0.8904064999999999,0.8904065040650406,8.904065,,,,18.031,1.8031,Пшеница озимая,0.8904064999999999,1.8031,3.16,4.0,wheat_winter,0.8904065040650406,physical_harvested_weight,2.2695935,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
214,2021,wheat_spring,1.5857777777777777,1.5857778,1.5857777777777777,15.857778,,,,28.408,2.8408,Пшеница яровая,1.5857778,2.8408,0.6312242268041237,1.0,wheat_spring,1.5857777777777775,physical_harvested_weight,2.2095757731958763,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
207,2025,wheat_spring,1.3522676043638986,2.6312281,1.3522676043638986,26.312281,,,,34.044,3.4044,Пшеница яровая,2.6312281,3.4044,,,wheat_spring,1.3522676043638986,physical_harvested_weight,2.052132395636101,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
197,2022,wheat_winter,1.5206997084548106,1.5206997,1.5206997084548106,15.206997,,,,32.342,3.2342,Пшеница озимая,1.5206997,3.2342,1.1920785219399537,1.0,wheat_winter,1.5206997084548106,physical_harvested_weight,2.0421214780600465,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
