field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source
208,2019,sunflower,,2.133,,21.33,,,,21.162,2.1162,Подсолнечник,2.133,2.1162,,,sunflower,2.133,productivity_normalized
208,2020,wheat_spring,,5.05,,5.05,,,,13.906,1.3906,Пшеница яровая,0.505,1.3906,,,wheat_spring,5.05,productivity_normalized
208,2021,sunflower,2.1216153846153847,2.8434021,2.1216153846153847,28.434021,,,,30.769,3.0768999999999997,Подсолнечник,2.8434021,3.0768999999999997,,,sunflower,2.1216153846153847,physical_harvested_weight
208,2022,wheat_spring,2.356923076923077,2.3569231,2.356923076923077,23.569231,,,,34.204,3.4204,Пшеница яровая,2.3569231,3.4204,2.593431952662722,1.0,wheat_spring,2.356923076923077,physical_harvested_weight
208,2023,wheat_spring,2.018076923076923,2.0180769,2.018076923076923,20.180769,,,,15.494,1.5493999999999999,Пшеница яровая,2.0180769,1.5493999999999999,,,wheat_spring,2.018076923076923,physical_harvested_weight
208,2024,sunflower,2.3606153846153846,2.3606154,2.3606153846153846,23.606154,,,,28.781,2.8781,Подсолнечник,2.3606154,2.8781,2.42,2.0,sunflower,2.360615384615385,physical_harvested_weight
208,2025,wheat_spring,3.8430769230769233,3.8430769,3.8430769230769233,38.430769,,,,30.721,3.0721,Пшеница яровая,3.8430769,3.0721,,,wheat_spring,3.8430769230769233,physical_harvested_weight
208,2026,pea,,,,,,,,,,,,,,,,,
208,2027,wheat_spring,,,,,,,,,,,,,,,,,
208,2028,,,,,,,,,,,,,,,,,,
208,2029,,,,,,,,,,,,,,,,,,
208,2030,,,,,,,,,,,,,,,,,,
209,2000,sunflower,,,,,,,,,,,,,,,,,
209,2001,sunflower,,,,,,,,,,,,,,,,,
209,2002,sunflower,,,,,,,,,,,,,,,,,
209,2003,sunflower,,,,,,,,,,,,,,,,,
209,2004,sunflower,,,,,,,,,,,,,,,,,
209,2005,sunflower,,,,,,,,,,,,,,,,,
209,2006,sunflower,,,,,,,,,,,,,,,,,
209,2007,sunflower,,,,,,,,,,,,,,,,,
209,2008,sunflower,,,,,,,,,,,,,,,,,
209,2009,sunflower,,,,,,,,,,,,,,,,,
